"",BBK01.OEXB12Q,BBK01.OEXB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:40,
2002-01,1.054,
2002-04,1.045,
2002-07,1.029,
2002-10,1.014,
2003-01,1.010,
2003-04,0.970,
2003-07,0.840,
2003-10,0.857,
2004-01,0.842,
2004-04,0.826,
2004-07,0.832,
2004-10,0.281,
2005-01,0.182,
2005-04,0.183,
2005-07,0.181,
2005-10,0.178,
2006-01,0.176,
2006-04,0.176,
2006-07,0.181,
2006-10,0.172,
2007-01,0.175,
2007-04,0.171,
2007-07,0.169,
2007-10,0.172,
2008-01,0.167,
2008-04,0.156,
2008-07,0.153,
2008-10,0.154,
2009-01,0.155,
2009-04,0.153,
2009-07,0.160,
2009-10,0.182,
2010-01,0.179,
2010-04,0.188,
2010-07,0.196,
2010-10,0.203,
2011-01,0.206,
2011-04,0.217,
2011-07,0.228,
2011-10,0.224,
2012-01,0.232,
2012-04,0.245,
2012-07,0.261,
2012-10,0.268,
2013-01,0.280,
2013-04,0.280,
2013-07,0.304,
2013-10,0.324,
2014-01,0.318,
2014-04,0.312,
2014-07,0.304,
