"",BBK01.OEHB23P,BBK01.OEHB23P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:42,
2002-01,0.060,
2002-04,0.058,
2002-07,0.062,
2002-10,0.073,
2003-01,0.075,
2003-04,0.070,
2003-07,0.060,
2003-10,0.053,
2004-01,0.054,
2004-04,0.055,
2004-07,0.040,
2004-10,0.031,
2005-01,0.028,
2005-04,0.046,
2005-07,0.059,
2005-10,0.060,
2006-01,0.065,
2006-04,0.083,
2006-07,0.072,
2006-10,0.086,
2007-01,0.095,
2007-04,0.088,
2007-07,0.097,
2007-10,0.104,
2008-01,0.107,
2008-04,0.103,
2008-07,0.087,
2008-10,0.089,
2009-01,0.098,
2009-04,0.105,
2009-07,0.105,
2009-10,0.133,
2010-01,0.137,
2010-04,0.234,
2010-07,0.240,
2010-10,0.259,
2011-01,0.287,
2011-04,0.330,
2011-07,0.501,
2011-10,0.565,
2012-01,0.559,
2012-04,0.541,
2012-07,0.574,
2012-10,0.564,
2013-01,0.569,
2013-04,0.468,
2013-07,0.366,
2013-10,0.357,
2014-01,0.361,
2014-04,0.352,
2014-07,0.336,
