"",BBK01.OEXJ05Q,BBK01.OEXJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:51,
2002-01,0.163,
2002-04,0.160,
2002-07,0.158,
2002-10,0.146,
2003-01,0.149,
2003-04,0.146,
2003-07,0.144,
2003-10,0.140,
2004-01,0.115,
2004-04,0.115,
2004-07,0.113,
2004-10,0.041,
2005-01,0.036,
2005-04,0.036,
2005-07,0.041,
2005-10,0.040,
2006-01,0.037,
2006-04,0.036,
2006-07,0.035,
2006-10,0.035,
2007-01,0.027,
2007-04,0.026,
2007-07,0.029,
2007-10,0.029,
2008-01,0.029,
2008-04,0.036,
2008-07,0.010,
2008-10,0.011,
2009-01,0.012,
2009-04,0.013,
2009-07,0.017,
2009-10,0.022,
2010-01,0.020,
2010-04,0.019,
2010-07,0.018,
2010-10,0.010,
2011-01,0.010,
2011-04,0.010,
2011-07,0.010,
2011-10,0.010,
2012-01,0.009,
2012-04,0.009,
2012-07,0.008,
2012-10,0.005,
2013-01,0.005,
2013-04,0.006,
2013-07,0.006,
2013-10,0.004,
2014-01,0.004,
2014-04,0.046,
2014-07,0.043,
