"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits  / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:10,
1991-01,803.137,
1991-02,30.841,
1991-03,8206.016,
1991-04,-3740.012,
1991-05,-3322.757,
1991-06,1085.206,
1991-07,-1377.368,
1991-08,2015.548,
1991-09,-3181.270,
1991-10,2938.995,
1991-11,-365.236,
1991-12,-312.053,
1992-01,1209.286,
1992-02,3891.090,
1992-03,4790.347,
1992-04,2228.359,
1992-05,-888.296,
1992-06,1628.937,
1992-07,-1490.083,
1992-08,5407.001,
1992-09,13911.276,
1992-10,-4024.375,
1992-11,2167.371,
1992-12,1154.192,
1993-01,-1626.487,
1993-02,6846.699,
1993-03,1660.234,
1993-04,-1304.742,
1993-05,1770.091,
1993-06,4445.989,
1993-07,1151.964,
1993-08,4641.115,
1993-09,-793.711,
1993-10,4641.694,
1993-11,3243.992,
1993-12,3976.216,
1994-01,7958.168,
1994-02,1627.255,
1994-03,4971.348,
1994-04,3109.115,
1994-05,4818.036,
1994-06,-909.611,
1994-07,3592.467,
1994-08,5864.905,
1994-09,2333.364,
1994-10,4894.401,
1994-11,2171.614,
1994-12,14829.551,
1995-01,2872.247,
1995-02,14901.255,
1995-03,4316.348,
1995-04,6054.508,
1995-05,6510.529,
1995-06,6320.640,
1995-07,-1376.348,
1995-08,9428.215,
1995-09,5887.447,
1995-10,4033.313,
1995-11,-692.825,
1995-12,1333.160,
1996-01,1505.555,
1996-02,3566.393,
1996-03,5581.548,
1996-04,8071.933,
1996-05,1241.567,
1996-06,-536.028,
1996-07,-6561.232,
1996-08,-2189.851,
1996-09,-206.215,
1996-10,-1272.791,
1996-11,13922.258,
1996-12,4319.504,
1997-01,14158.962,
1997-02,14902.920,
1997-03,17279.662,
1997-04,9148.988,
1997-05,5481.841,
1997-06,13430.498,
1997-07,-1271.565,
1997-08,5125.739,
1997-09,-4627.207,
1997-10,27655.677,
1997-11,8608.973,
1997-12,-5775.168,
1998-01,13523.571,
1998-02,8215.319,
1998-03,22413.772,
1998-04,9956.088,
1998-05,23983.381,
1998-06,5152.459,
1998-07,-12563.254,
1998-08,11183.940,
1998-09,5813.105,
1998-10,29910.565,
1998-11,34479.990,
1998-12,-7360.384,
1999-01,62406.974,
1999-02,-27094.940,
1999-03,11244.699,
1999-04,11921.925,
1999-05,2677.643,
1999-06,-453.463,
1999-07,-2402.953,
1999-08,10305.323,
1999-09,8886.913,
1999-10,9513.580,
1999-11,27533.422,
1999-12,-21135.836,
2000-01,29882.639,
2000-02,17950.287,
2000-03,30320.130,
2000-04,23790.543,
2000-05,26951.786,
2000-06,-43780.855,
2000-07,-17674.566,
2000-08,13812.261,
2000-09,7558.839,
2000-10,1226.390,
2000-11,21294.971,
2000-12,4375.006,
2001-01,37604.481,
2001-02,27732.005,
2001-03,66005.852,
2001-04,20634.766,
2001-05,2096.215,
2001-06,-47418.886,
2001-07,-24604.473,
2001-08,21137.915,
2001-09,-1816.186,
2001-10,6256.977,
2001-11,-9618.985,
2001-12,-41037.420,
2002-01,21816.864,
2002-02,-21916.886,
2002-03,15289.329,
2002-04,34104.727,
2002-05,11722.593,
2002-06,-40842.096,
2002-07,7242.466,
2002-08,2759.846,
2002-09,19166.766,
2002-10,5085.275,
2002-11,22226.101,
2002-12,-47549.120,
2003-01,18770.808,
2003-02,5975.632,
2003-03,18299.713,
2003-04,12162.147,
2003-05,1988.478,
2003-06,-14582.606,
2003-07,-3824.084,
2003-08,-29063.068,
2003-09,23877.298,
2003-10,-10092.484,
2003-11,-5116.755,
2003-12,-5711.704,
2004-01,19272.201,
2004-02,9061.621,
2004-03,28539.502,
2004-04,-21.326,
2004-05,-24528.421,
2004-06,-28855.899,
2004-07,-7745.545,
2004-08,5532.057,
2004-09,28936.173,
2004-10,-4742.595,
2004-11,33533.039,
2004-12,-29138.509,
2005-01,46191.865,
