"",BBK01.OEHL03M,BBK01.OEHL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:42,
2002-01,1.729,
2002-04,1.678,
2002-07,1.651,
2002-10,1.609,
2003-01,1.611,
2003-04,1.536,
2003-07,1.387,
2003-10,1.262,
2004-01,1.213,
2004-04,1.172,
2004-07,1.132,
2004-10,1.040,
2005-01,1.024,
2005-04,0.997,
2005-07,0.967,
2005-10,0.914,
2006-01,0.947,
2006-04,0.939,
2006-07,0.993,
2006-10,0.982,
2007-01,1.062,
2007-04,1.074,
2007-07,1.200,
2007-10,1.359,
2008-01,1.494,
2008-04,1.610,
2008-07,1.746,
2008-10,1.887,
2009-01,1.207,
2009-04,0.870,
2009-07,0.654,
2009-10,0.489,
2010-01,0.496,
2010-04,0.456,
2010-07,0.450,
2010-10,0.508,
2011-01,0.514,
2011-04,0.546,
2011-07,0.577,
2011-10,0.548,
2012-01,0.508,
2012-04,0.480,
2012-07,0.412,
2012-10,0.356,
2013-01,0.335,
2013-04,0.296,
2013-07,0.267,
2013-10,0.261,
2014-01,0.222,
2014-04,0.205,
2014-07,0.181,
