"",BBK01.OEAD18T,BBK01.OEAD18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:15,
2002-01,0.055,
2002-04,0.058,
2002-07,0.047,
2002-10,0.040,
2003-01,0.045,
2003-04,0.044,
2003-07,0.043,
2003-10,0.035,
2004-01,0.038,
2004-04,0.049,
2004-07,0.036,
2004-10,0.051,
2005-01,0.040,
2005-04,0.040,
2005-07,0.046,
2005-10,0.039,
2006-01,0.046,
2006-04,0.044,
2006-07,0.036,
2006-10,0.034,
2007-01,0.043,
2007-04,0.036,
2007-07,0.037,
2007-10,0.032,
2008-01,0.042,
2008-04,0.038,
2008-07,0.035,
2008-10,0.031,
2009-01,0.033,
2009-04,0.032,
2009-07,0.037,
2009-10,0.033,
2010-01,0.090,
2010-04,0.079,
2010-07,0.078,
2010-10,0.068,
2011-01,0.068,
2011-04,0.064,
2011-07,0.063,
2011-10,0.060,
2012-01,0.068,
2012-04,0.061,
2012-07,0.057,
2012-10,0.052,
2013-01,0.055,
2013-04,0.021,
2013-07,0.023,
2013-10,0.022,
2014-01,0.021,
2014-04,0.020,
2014-07,0.022,
