"",BBK01.OEAH49G,BBK01.OEAH49G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:24,
2002-01,0.132,
2002-04,0.144,
2002-07,0.151,
2002-10,0.168,
2003-01,0.185,
2003-04,0.179,
2003-07,0.181,
2003-10,0.196,
2004-01,0.195,
2004-04,0.205,
2004-07,0.221,
2004-10,0.228,
2005-01,0.178,
2005-04,0.171,
2005-07,0.164,
2005-10,0.165,
2006-01,0.162,
2006-04,0.163,
2006-07,0.152,
2006-10,0.149,
2007-01,0.143,
2007-04,0.138,
2007-07,0.133,
2007-10,0.134,
2008-01,0.128,
2008-04,0.127,
2008-07,0.120,
2008-10,0.131,
2009-01,0.127,
2009-04,0.134,
2009-07,0.141,
2009-10,0.164,
2010-01,0.182,
2010-04,0.176,
2010-07,0.190,
2010-10,0.184,
2011-01,0.186,
2011-04,0.186,
2011-07,0.187,
2011-10,0.182,
2012-01,0.174,
2012-04,0.163,
2012-07,0.149,
2012-10,0.143,
2013-01,0.139,
2013-04,0.130,
2013-07,0.126,
2013-10,0.125,
2014-01,0.119,
2014-04,0.114,
2014-07,0.109,
