"",BBK01.OEHI08P,BBK01.OEHI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:11,
2002-01,4.109,
2002-04,4.043,
2002-07,4.004,
2002-10,4.129,
2003-01,4.214,
2003-04,4.253,
2003-07,4.249,
2003-10,4.407,
2004-01,4.459,
2004-04,4.483,
2004-07,4.474,
2004-10,4.496,
2005-01,4.476,
2005-04,4.490,
2005-07,4.484,
2005-10,4.575,
2006-01,4.560,
2006-04,4.522,
2006-07,4.442,
2006-10,4.517,
2007-01,4.436,
2007-04,4.345,
2007-07,4.280,
2007-10,4.314,
2008-01,4.210,
2008-04,4.157,
2008-07,4.040,
2008-10,4.046,
2009-01,4.038,
2009-04,4.007,
2009-07,4.051,
2009-10,4.139,
2010-01,4.297,
2010-04,4.437,
2010-07,4.453,
2010-10,4.536,
2011-01,4.557,
2011-04,4.554,
2011-07,4.525,
2011-10,4.598,
2012-01,4.594,
2012-04,4.581,
2012-07,4.631,
2012-10,4.794,
2013-01,4.805,
2013-04,4.760,
2013-07,4.702,
2013-10,4.670,
2014-01,4.604,
2014-04,4.553,
2014-07,4.491,
