"",BBFB1.Q.N.DE.AT.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:22,
1991-01,2594.536,
1991-04,1364.606,
1991-07,1908.755,
1991-10,1451.065,
1992-01,2728.677,
1992-04,1473.492,
1992-07,1959.534,
1992-10,1569.544,
1993-01,2718.661,
1993-04,1487.121,
1993-07,2011.754,
1993-10,1540.864,
1994-01,2852.675,
1994-04,1527.044,
1994-07,2103.120,
1994-10,1521.285,
1995-01,2765.621,
1995-04,1511.317,
1995-07,2028.760,
1995-10,1550.653,
1996-01,2730.526,
1996-04,1493.584,
1996-07,1990.664,
1996-10,1583.724,
1997-01,2735.130,
1997-04,1534.991,
1997-07,2081.513,
1997-10,1608.209,
1998-01,2837.743,
1998-04,1651.338,
1998-07,2142.063,
1998-10,1662.045,
1999-01,2826.626,
1999-04,1741.837,
1999-07,2256.560,
1999-10,1787.640,
2000-01,3023.197,
2000-04,1871.791,
2000-07,2315.452,
2000-10,1994.025,
2001-01,3187.032,
2001-04,2031.715,
2001-07,2528.924,
2001-10,1987.329,
2002-01,3411.529,
2002-04,2149.088,
2002-07,2448.248,
2002-10,2225.121,
2003-01,3368.644,
2003-04,2331.795,
2003-07,3008.974,
2003-10,2327.779,
2004-01,3290.300,
2004-04,2556.257,
2004-07,2853.381,
2004-10,2272.644,
2005-01,3288.572,
2005-04,2486.923,
2005-07,3205.337,
2005-10,2538.595,
2006-01,3550.137,
2006-04,2513.004,
2006-07,3151.989,
2006-10,2614.855,
2007-01,3274.512,
2007-04,2624.709,
2007-07,3367.468,
2007-10,2839.571,
2008-01,3418.905,
2008-04,2653.186,
2008-07,3467.474,
2008-10,3086.132,
2009-01,3350.905,
2009-04,2449.575,
2009-07,3217.566,
2009-10,2707.537,
2010-01,3411.950,
2010-04,2470.688,
2010-07,3508.412,
2010-10,2844.759,
2011-01,3704.145,
2011-04,2778.755,
2011-07,3756.618,
2011-10,3084.204,
2012-01,3556.848,
2012-04,3091.570,
2012-07,3874.849,
2012-10,3216.269,
2013-01,4152.083,
2013-04,3216.296,
2013-07,4038.766,
2013-10,3456.105,
2014-01,4128.701,Provisional value
2014-04,3606.213,Provisional value
2014-07,4207.429,Provisional value
