"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United States / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:22,
2009-09,3685,
2009-10,3802,
2009-11,3975,
2009-12,4064,
2010-01,4877,
2010-02,4673,
2010-03,4580,
2010-04,5044,
2010-05,5831,
2010-06,6064,
2010-07,5554,
2010-08,6004,
2010-09,5589,
2010-10,5824,
2010-11,6133,
2010-12,5805,
2011-01,5482,
2011-02,5402,
2011-03,5485,
2011-04,5501,
2011-05,5692,
2011-06,5379,
2011-07,5585,
2011-08,5845,
2011-09,6354,
2011-10,6006,
2011-11,6714,
2011-12,7316,
2012-01,7514,
2012-02,7534,
2012-03,7633,
2012-04,8390,
2012-05,9316,
2012-06,9051,
2012-07,9529,
2012-08,9358,
2012-09,8811,
2012-10,8823,
2012-11,8673,
2012-12,8424,
2013-01,8370,
2013-02,8837,
2013-03,9191,
2013-04,9545,
2013-05,9651,
2013-06,9659,
2013-07,10150,
2013-08,10072,
2013-09,9824,
2013-10,9344,
2013-11,12556,
2013-12,11951,
2014-01,12879,
2014-02,9493,
2014-03,9459,
2014-04,9195,
2014-05,9585,
2014-06,9681,
2014-07,10070,
2014-08,10794,
2014-09,13690,
2014-10,13877,
2014-11,14072,
