"",BBK01.OEYB04U,BBK01.OEYB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:51,
2002-01,3.274,
2002-04,3.273,
2002-07,3.287,
2002-10,3.311,
2003-01,3.268,
2003-04,3.283,
2003-07,3.265,
2003-10,3.267,
2004-01,3.253,
2004-04,2.792,
2004-07,2.890,
2004-10,2.917,
2005-01,2.913,
2005-04,2.915,
2005-07,2.911,
2005-10,2.940,
2006-01,2.960,
2006-04,2.934,
2006-07,2.951,
2006-10,2.954,
2007-01,2.971,
2007-04,3.036,
2007-07,3.027,
2007-10,3.078,
2008-01,3.075,
2008-04,3.095,
2008-07,3.094,
2008-10,3.216,
2009-01,3.146,
2009-04,3.211,
2009-07,3.232,
2009-10,3.270,
2010-01,3.323,
2010-04,3.263,
2010-07,3.184,
2010-10,3.135,
2011-01,3.126,
2011-04,3.158,
2011-07,3.120,
2011-10,3.091,
2012-01,3.161,
2012-04,3.124,
2012-07,3.158,
2012-10,3.152,
2013-01,3.535,
2013-04,3.759,
2013-07,3.721,
2013-10,3.725,
2014-01,3.953,
2014-04,4.021,
2014-07,3.973,
