"",BBK01.OEBO02T,BBK01.OEBO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:43,
2002-01,0.304,
2002-04,0.253,
2002-07,0.238,
2002-10,0.241,
2003-01,0.299,
2003-04,0.216,
2003-07,0.240,
2003-10,0.235,
2004-01,0.248,
2004-04,0.201,
2004-07,0.224,
2004-10,0.211,
2005-01,0.331,
2005-04,0.283,
2005-07,0.257,
2005-10,0.269,
2006-01,0.348,
2006-04,0.286,
2006-07,0.278,
2006-10,0.327,
2007-01,0.529,
2007-04,0.345,
2007-07,0.327,
2007-10,0.397,
2008-01,0.420,
2008-04,0.395,
2008-07,0.328,
2008-10,0.543,
2009-01,0.436,
2009-04,0.345,
2009-07,0.418,
2009-10,0.362,
2010-01,0.353,
2010-04,0.245,
2010-07,0.226,
2010-10,0.319,
2011-01,0.357,
2011-04,0.263,
2011-07,0.252,
2011-10,0.251,
2012-01,0.397,
2012-04,0.224,
2012-07,0.247,
2012-10,0.251,
2013-01,0.276,
2013-04,0.201,
2013-07,0.180,
2013-10,0.162,
2014-01,0.174,
2014-04,0.137,
2014-07,0.270,
