"",BBK01.OEAC38K,BBK01.OEAC38K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:45,
2002-01,0.297,
2002-04,0.270,
2002-07,0.262,
2002-10,0.325,
2003-01,0.282,
2003-04,0.203,
2003-07,0.356,
2003-10,0.356,
2004-01,0.335,
2004-04,0.686,
2004-07,0.341,
2004-10,0.348,
2005-01,0.147,
2005-04,0.145,
2005-07,0.224,
2005-10,0.242,
2006-01,0.336,
2006-04,0.301,
2006-07,0.312,
2006-10,0.288,
2007-01,0.225,
2007-04,0.309,
2007-07,0.347,
2007-10,0.337,
2008-01,0.395,
2008-04,0.516,
2008-07,0.598,
2008-10,0.599,
2009-01,0.691,
2009-04,0.926,
2009-07,1.055,
2009-10,1.181,
2010-01,1.390,
2010-04,1.606,
2010-07,2.046,
2010-10,1.923,
2011-01,1.840,
2011-04,1.892,
2011-07,2.037,
2011-10,1.939,
2012-01,1.613,
2012-04,1.706,
2012-07,1.503,
2012-10,1.410,
2013-01,1.386,
2013-04,1.334,
2013-07,1.357,
2013-10,1.574,
2014-01,1.511,
2014-04,1.498,
2014-07,1.601,
