"",BBK01.OEXB01H,BBK01.OEXB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:00,
2002-01,27.905,
2002-04,28.055,
2002-07,27.883,
2002-10,27.645,
2003-01,27.797,
2003-04,28.576,
2003-07,28.321,
2003-10,28.923,
2004-01,25.363,
2004-04,26.200,
2004-07,25.226,
2004-10,22.922,
2005-01,23.483,
2005-04,23.375,
2005-07,23.823,
2005-10,24.333,
2006-01,23.522,
2006-04,24.208,
2006-07,24.495,
2006-10,25.079,
2007-01,25.287,
2007-04,25.817,
2007-07,26.119,
2007-10,26.956,
2008-01,26.782,
2008-04,26.922,
2008-07,27.726,
2008-10,26.384,
2009-01,26.630,
2009-04,27.362,
2009-07,28.250,
2009-10,27.564,
2010-01,27.784,
2010-04,29.462,
2010-07,29.974,
2010-10,29.444,
2011-01,30.506,
2011-04,31.045,
2011-07,39.620,
2011-10,42.533,
2012-01,43.286,
2012-04,43.761,
2012-07,44.537,
2012-10,45.298,
2013-01,45.971,
2013-04,44.189,
2013-07,44.908,
2013-10,45.448,
2014-01,46.179,
2014-04,46.832,
2014-07,47.575,
