"",BBK01.OECO01R,BBK01.OECO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:14,
2002-01,0.231,
2002-04,0.228,
2002-07,0.172,
2002-10,0.172,
2003-01,0.186,
2003-04,0.184,
2003-07,0.176,
2003-10,0.183,
2004-01,0.181,
2004-04,0.172,
2004-07,0.166,
2004-10,0.310,
2005-01,0.887,
2005-04,0.881,
2005-07,0.874,
2005-10,0.869,
2006-01,0.872,
2006-04,0.862,
2006-07,0.847,
2006-10,0.834,
2007-01,0.824,
2007-04,0.822,
2007-07,0.808,
2007-10,0.795,
2008-01,0.806,
2008-04,0.795,
2008-07,0.811,
2008-10,0.789,
2009-01,0.791,
2009-04,0.803,
2009-07,0.823,
2009-10,0.859,
2010-01,0.887,
2010-04,0.900,
2010-07,0.899,
2010-10,0.911,
2011-01,0.919,
2011-04,0.912,
2011-07,0.896,
2011-10,0.887,
2012-01,0.896,
2012-04,0.958,
2012-07,0.942,
2012-10,0.951,
2013-01,0.976,
2013-04,0.972,
2013-07,0.962,
2013-10,0.958,
2014-01,0.963,
2014-04,0.956,
2014-07,0.945,
