"",BBK01.OEAC32T,BBK01.OEAC32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:04,
2002-01,0.088,
2002-04,0.091,
2002-07,0.091,
2002-10,0.099,
2003-01,0.100,
2003-04,0.099,
2003-07,0.122,
2003-10,0.152,
2004-01,0.143,
2004-04,0.137,
2004-07,0.122,
2004-10,0.100,
2005-01,0.099,
2005-04,0.097,
2005-07,0.087,
2005-10,0.085,
2006-01,0.088,
2006-04,0.086,
2006-07,0.100,
2006-10,0.097,
2007-01,0.093,
2007-04,0.077,
2007-07,0.072,
2007-10,0.076,
2008-01,0.131,
2008-04,0.135,
2008-07,0.149,
2008-10,0.158,
2009-01,0.145,
2009-04,0.157,
2009-07,0.150,
2009-10,0.149,
2010-01,0.111,
2010-04,0.113,
2010-07,0.113,
2010-10,0.089,
2011-01,0.098,
2011-04,0.101,
2011-07,0.108,
2011-10,0.126,
2012-01,0.126,
2012-04,0.159,
2012-07,0.161,
2012-10,0.123,
2013-01,0.132,
2013-04,0.133,
2013-07,0.147,
2013-10,0.146,
2014-01,0.144,
2014-04,0.149,
2014-07,0.152,
