"",BBK01.OEBB03L,BBK01.OEBB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:15,
2002-01,15.498,
2002-04,15.674,
2002-07,16.581,
2002-10,16.913,
2003-01,23.379,
2003-04,23.618,
2003-07,23.302,
2003-10,23.827,
2004-01,25.263,
2004-04,25.685,
2004-07,25.845,
2004-10,24.463,
2005-01,25.769,
2005-04,26.756,
2005-07,27.846,
2005-10,31.527,
2006-01,31.977,
2006-04,32.172,
2006-07,34.152,
2006-10,31.998,
2007-01,35.927,
2007-04,41.697,
2007-07,42.860,
2007-10,43.564,
2008-01,44.726,
2008-04,44.557,
2008-07,49.460,
2008-10,49.053,
2009-01,48.649,
2009-04,49.260,
2009-07,47.221,
2009-10,47.570,
2010-01,45.930,
2010-04,47.290,
2010-07,46.603,
2010-10,48.195,
2011-01,47.142,
2011-04,44.110,
2011-07,45.590,
2011-10,45.242,
2012-01,45.144,
2012-04,45.885,
2012-07,46.289,
2012-10,47.913,
2013-01,47.716,
2013-04,47.067,
2013-07,46.994,
2013-10,46.375,
2014-01,46.140,
2014-04,47.411,
2014-07,49.632,
