"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.BE.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:32,
2009-09,1530,
2009-10,1553,
2009-11,1573,
2009-12,1585,
2010-01,1663,
2010-02,1701,
2010-03,1782,
2010-04,1782,
2010-05,1768,
2010-06,1762,
2010-07,1826,
2010-08,1811,
2010-09,2139,
2010-10,2065,
2010-11,1968,
2010-12,1822,
2011-01,1686,
2011-02,1751,
2011-03,1819,
2011-04,1802,
2011-05,1786,
2011-06,1727,
2011-07,1687,
2011-08,1669,
2011-09,1698,
2011-10,1627,
2011-11,1604,
2011-12,1651,
2012-01,1661,
2012-02,1709,
2012-03,1839,
2012-04,1793,
2012-05,1867,
2012-06,1988,
2012-07,2098,
2012-08,2166,
2012-09,2287,
2012-10,2267,
2012-11,2334,
2012-12,2457,
2013-01,2384,
2013-02,2537,
2013-03,2548,
2013-04,2567,
2013-05,2568,
2013-06,2593,
2013-07,2733,
2013-08,2772,
2013-09,2883,
2013-10,2962,
2013-11,2935,
2013-12,3221,
2014-01,3359,
2014-02,3514,
2014-03,3552,
2014-04,3688,
2014-05,3711,
2014-06,3694,
2014-07,3644,
2014-08,3721,
2014-09,3699,
2014-10,3821,
2014-11,3748,
