"",BBK01.OEAA19J,BBK01.OEAA19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:37,
2002-01,2.865,
2002-04,3.057,
2002-07,3.043,
2002-10,2.765,
2003-01,2.853,
2003-04,2.780,
2003-07,2.722,
2003-10,2.448,
2004-01,2.413,
2004-04,2.461,
2004-07,2.369,
2004-10,2.672,
2005-01,2.246,
2005-04,2.271,
2005-07,2.213,
2005-10,2.164,
2006-01,2.329,
2006-04,2.316,
2006-07,2.212,
2006-10,2.178,
2007-01,2.370,
2007-04,2.377,
2007-07,2.345,
2007-10,2.313,
2008-01,2.350,
2008-04,2.541,
2008-07,2.681,
2008-10,2.639,
2009-01,2.787,
2009-04,2.690,
2009-07,2.701,
2009-10,2.426,
2010-01,2.513,
2010-04,2.683,
2010-07,2.636,
2010-10,2.805,
2011-01,2.893,
2011-04,2.968,
2011-07,2.997,
2011-10,3.030,
2012-01,3.241,
2012-04,3.412,
2012-07,3.670,
2012-10,3.735,
2013-01,3.629,
2013-04,3.452,
2013-07,3.678,
2013-10,3.599,
2014-01,3.507,
2014-04,3.480,
2014-07,3.242,
