"",BBK01.CEHF20,BBK01.CEHF20_FLAGS
"",longer-term loans debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:20,
1991-01,0.7,
1991-04,0.3,
1991-07,0.0,
1991-10,1.6,
1992-01,0.3,
1992-04,0.5,
1992-07,0.5,
1992-10,1.5,
1993-01,0.4,
1993-04,0.7,
1993-07,0.1,
1993-10,1.1,
1994-01,2.6,
1994-04,0.1,
1994-07,0.3,
1994-10,1.8,
1995-01,2.1,
1995-04,1.5,
1995-07,1.1,
1995-10,0.3,
1996-01,1.1,
1996-04,1.1,
1996-07,1.8,
1996-10,1.0,
1997-01,0.4,
1997-04,1.2,
1997-07,2.5,
1997-10,1.4,
1998-01,2.6,
1998-04,7.1,
1998-07,-0.1,
1998-10,3.7,
1999-01,1.9,
1999-04,3.9,
1999-07,1.5,
1999-10,4.1,
2000-01,4.6,
2000-04,3.5,
2000-07,3.3,
2000-10,47.6,
2001-01,9.3,
2001-04,4.5,
2001-07,16.1,
2001-10,10.1,
2002-01,2.4,
2002-04,17.6,
2002-07,5.3,
2002-10,14.5,
2003-01,-4.6,
2003-04,8.2,
2003-07,7.2,
2003-10,-14.1,
2004-01,-24.6,
2004-04,3.2,
2004-07,-2.6,
2004-10,-9.1,
2005-01,3.7,
2005-04,2.6,
2005-07,1.2,
2005-10,2.3,
2006-01,12.4,
2006-04,9.2,
2006-07,6.9,
2006-10,4.2,
2007-01,-4.0,
2007-04,0.8,
2007-07,9.1,
2007-10,-10.7,
2008-01,10.4,
2008-04,3.9,
2008-07,8.1,
2008-10,12.8,
2009-01,6.2,
2009-04,7.7,
2009-07,10.1,
2009-10,2.8,
2010-01,14.1,
2010-04,9.0,
2010-07,1.3,
2010-10,9.1,
2011-01,-0.5,
2011-04,-4.1,
2011-07,4.1,
2011-10,-1.2,
2012-01,5.9,
2012-04,5.5,
2012-07,-2.5,
2012-10,-6.7,
2013-01,1.3,
2013-04,-0.2,
2013-07,-2.7,
2013-10,5.7,
2014-01,1.0,
