"",BBK01.OEAA11J,BBK01.OEAA11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:33,
2002-01,3.872,
2002-04,4.103,
2002-07,4.143,
2002-10,3.823,
2003-01,3.752,
2003-04,3.621,
2003-07,3.707,
2003-10,3.545,
2004-01,3.219,
2004-04,3.332,
2004-07,3.150,
2004-10,3.609,
2005-01,3.160,
2005-04,3.050,
2005-07,3.047,
2005-10,2.956,
2006-01,3.022,
2006-04,3.027,
2006-07,2.957,
2006-10,3.011,
2007-01,3.051,
2007-04,3.021,
2007-07,2.951,
2007-10,3.053,
2008-01,3.118,
2008-04,3.235,
2008-07,3.394,
2008-10,3.202,
2009-01,3.707,
2009-04,3.326,
2009-07,3.406,
2009-10,2.925,
2010-01,2.999,
2010-04,3.207,
2010-07,3.120,
2010-10,3.321,
2011-01,3.387,
2011-04,3.517,
2011-07,3.561,
2011-10,3.562,
2012-01,3.933,
2012-04,4.127,
2012-07,4.368,
2012-10,4.199,
2013-01,4.338,
2013-04,4.001,
2013-07,4.130,
2013-10,4.111,
2014-01,4.129,
2014-04,3.999,
2014-07,4.097,
