"",BBFN1.M.DE.N.1.L.ID.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ID.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:08,
1994-07,0.050,
1994-08,0.057,
1994-09,0.048,
1994-10,0.043,
1994-11,0.054,
1994-12,0.057,
1995-01,0.051,
1995-02,0.048,
1995-03,0.138,
1995-04,0.052,
1995-05,0.050,
1995-06,0.052,
1995-07,0.056,
1995-08,0.059,
1995-09,0.050,
1995-10,0.053,
1995-11,0.056,
1995-12,0.055,
1996-01,0.058,
1996-02,0.058,
1996-03,0.054,
1996-04,0.076,
1996-05,0.075,
1996-06,0.086,
1996-07,0.083,
1996-08,0.078,
1996-09,0.076,
1996-10,0.081,
1996-11,0.082,
1996-12,0.081,
1997-01,0.076,
1997-02,0.071,
1997-03,0.069,
1997-04,0.077,
1997-05,0.071,
1997-06,0.065,
1997-07,0.080,
1997-08,0.078,
1997-09,0.092,
1997-10,0.069,
1997-11,0.065,
1997-12,0.075,
1998-01,0.071,
1998-02,0.072,
1998-03,0.071,
1998-04,0.069,
1998-05,0.079,
1998-06,0.070,
1998-07,0.071,
1998-08,0.072,
1998-09,0.078,
1998-10,0.087,
1998-11,0.084,
1998-12,0.081,
1999-01,0.089,
1999-02,0.091,
1999-03,0.081,
1999-04,0.103,
1999-05,0.093,
1999-06,0.067,
1999-07,0.066,
1999-08,0.063,
1999-09,0.075,
1999-10,0.065,
1999-11,0.065,
1999-12,0.073,
2000-01,0.057,
2000-02,0.056,
2000-03,0.071,
2000-04,0.069,
2000-05,0.065,
2000-06,0.078,
2000-07,0.094,
2000-08,0.097,
2000-09,0.105,
2000-10,0.097,
2000-11,0.093,
2000-12,0.088,
2001-01,0.076,
2001-02,0.078,
2001-03,0.081,
2001-04,0.061,
2001-05,0.072,
2001-06,0.072,
2001-07,0.063,
2001-08,0.066,
2001-09,0.072,
2001-10,0.072,
2001-11,0.076,
2001-12,0.087,
2002-01,0.078,
2002-02,0.080,
2002-03,0.073,
2002-04,0.075,
2002-05,0.065,
2002-06,0.068,
2002-07,0.070,
2002-08,0.065,
2002-09,0.062,
2002-10,0.059,
2002-11,0.063,
2002-12,0.061,
2003-01,0.056,
2003-02,0.050,
2003-03,0.053,
2003-04,0.059,
2003-05,0.065,
2003-06,0.057,
2003-07,0.054,
2003-08,0.055,
2003-09,0.049,
2003-10,0.049,
2003-11,0.047,
2003-12,0.050,
2004-01,0.046,
2004-02,0.044,
2004-03,0.050,
2004-04,0.047,
2004-05,0.049,
2004-06,0.046,
2004-07,0.063,
2004-08,0.041,
2004-09,0.045,
2004-10,0.044,
2004-11,0.055,
2004-12,0.055,
2005-01,0.055,
2005-02,0.042,
2005-03,0.050,
2005-04,0.037,
2005-05,0.042,
2005-06,0.046,
2005-07,0.047,
2005-08,0.057,
2005-09,0.058,
2005-10,0.057,
2005-11,0.054,
2005-12,0.053,
2006-01,0.057,
2006-02,0.045,
2006-03,0.055,
2006-04,0.057,
2006-05,0.054,
2006-06,0.051,
2006-07,0.061,
2006-08,0.070,
2006-09,0.066,
2006-10,0.059,
2006-11,0.044,
2006-12,0.045,
2007-01,0.049,
2007-02,0.053,
2007-03,0.059,
2007-04,0.058,
2007-05,0.058,
2007-06,0.064,
2007-07,0.068,
2007-08,0.064,
2007-09,0.085,
2007-10,0.064,
2007-11,0.075,
2007-12,0.062,
2008-01,0.061,
2008-02,0.061,
2008-03,0.053,
2008-04,0.054,
2008-05,0.060,
2008-06,0.078,
2008-07,0.078,
2008-08,0.094,
2008-09,0.087,
2008-10,0.080,
2008-11,0.072,
2008-12,0.069,
2009-01,0.075,
2009-02,0.065,
2009-03,0.053,
2009-04,0.057,
2009-05,0.058,
2009-06,0.063,
2009-07,0.071,
2009-08,0.068,
2009-09,0.082,
2009-10,0.060,
2009-11,0.059,
2009-12,0.065,
2010-01,0.066,
2010-02,0.044,
2010-03,0.087,
2010-04,0.053,
2010-05,0.062,
2010-06,0.098,
2010-07,0.056,
2010-08,0.059,
2010-09,0.102,
2010-10,0.060,
2010-11,0.057,
2010-12,0.099,
2011-01,0.049,
2011-02,0.051,
2011-03,0.104,
2011-04,0.063,
2011-05,0.066,
2011-06,0.044,
2011-07,0.049,
2011-08,0.054,
2011-09,0.072,
2011-10,0.044,
2011-11,0.044,
2011-12,0.046,
2012-01,0.041,
2012-02,0.049,
2012-03,0.043,
2012-04,0.048,
2012-05,0.048,
2012-06,0.071,
2012-07,0.050,
2012-08,0.042,
2012-09,0.074,
2012-10,0.045,
2012-11,0.048,
2012-12,0.054,
2013-01,0.050,
2013-02,0.040,
2013-03,0.045,
2013-04,0.046,
2013-05,0.043,
2013-06,0.061,
2013-07,0.046,
2013-08,0.039,
2013-09,0.060,
2013-10,0.048,
2013-11,0.050,
2013-12,0.074,
2014-01,0.056,
2014-02,0.053,
2014-03,0.058,
2014-04,0.059,
2014-05,0.065,
2014-06,0.057,
2014-07,0.059,
2014-08,0.068,
2014-09,0.072,
2014-10,0.065,
2014-11,0.056,
2014-12,0.068,
