"",BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / General government / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:51,
1991-01,277.373,
1991-04,395.532,
1991-07,227.638,
1991-10,308.120,
1992-01,558.727,
1992-04,402.943,
1992-07,393.768,
1992-10,745.603,
1993-01,600.522,
1993-04,767.448,
1993-07,225.274,
1993-10,1761.599,
1994-01,900.810,
1994-04,1024.600,
1994-07,-172.244,
1994-10,839.848,
1995-01,404.130,
1995-04,-882.674,
1995-07,142.361,
1995-10,1530.121,
1996-01,280.265,
1996-04,154.893,
1996-07,-15.659,
1996-10,306.484,
1997-01,831.190,
1997-04,74.631,
1997-07,446.776,
1997-10,237.316,
1998-01,292.966,
1998-04,76.325,
1998-07,355.226,
1998-10,155.756,
1999-01,-28.901,
1999-04,60.903,
1999-07,91.636,
1999-10,252.172,
2000-01,89.598,
2000-04,319.021,
2000-07,658.334,
2000-10,12.054,
2001-01,-159.130,
2001-04,-178.557,
2001-07,85.404,
2001-10,-4.900,
2002-01,-113.910,
2002-04,-150.740,
2002-07,60.727,
2002-10,-13.663,
2003-01,-308.989,
2003-04,5.460,
2003-07,-276.071,
2003-10,-114.885,
2004-01,-301.404,
2004-04,-68.444,
2004-07,-113.803,
2004-10,-303.100,
2005-01,-2201.450,
2005-04,-1155.772,
2005-07,-4847.424,
2005-10,-219.792,
2006-01,-514.951,
2006-04,-527.471,
2006-07,-6606.526,
2006-10,-414.889,
2007-01,-28.634,
2007-04,-110.438,
2007-07,-14.998,
2007-10,-722.989,
2008-01,68.211,
2008-04,-98.552,
2008-07,-103.526,
2008-10,-334.248,
2009-01,-2.903,
2009-04,-44.653,
2009-07,805.951,
2009-10,1043.318,
2010-01,1129.894,
2010-04,10130.830,
2010-07,-602.680,
2010-10,29622.177,
2011-01,-1489.608,
2011-04,560.981,
2011-07,219.780,
2011-10,3322.243,
2012-01,9669.914,
2012-04,13240.062,
2012-07,-931.471,
2012-10,18339.391,
2013-01,414.229,
2013-04,3944.566,
2013-07,3117.290,
2013-10,-182.702,
2014-01,-1076.384,
2014-04,-763.133,
2014-07,-832.138,
