"",BBFN1.M.DE.N.1.L.S1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:40,
1995-01,0.943,
1995-02,0.946,
1995-03,0.908,
1995-04,0.944,
1995-05,0.983,
1995-06,0.964,
1995-07,0.944,
1995-08,0.972,
1995-09,0.946,
1995-10,0.948,
1995-11,0.952,
1995-12,0.924,
1996-01,0.943,
1996-02,1.000,
1996-03,1.048,
1996-04,1.047,
1996-05,0.958,
1996-06,0.960,
1996-07,0.995,
1996-08,1.020,
1996-09,1.047,
1996-10,1.144,
1996-11,1.066,
1996-12,1.284,
1997-01,1.282,
1997-02,1.315,
1997-03,1.199,
1997-04,1.189,
1997-05,1.262,
1997-06,1.299,
1997-07,1.282,
1997-08,1.305,
1997-09,1.302,
1997-10,1.302,
1997-11,1.248,
1997-12,1.401,
1998-01,1.374,
1998-02,1.407,
1998-03,1.395,
1998-04,1.420,
1998-05,1.450,
1998-06,1.609,
1998-07,1.585,
1998-08,1.560,
1998-09,1.530,
1998-10,1.604,
1998-11,1.612,
1998-12,1.577,
1999-01,1.561,
1999-02,1.419,
1999-03,1.414,
1999-04,1.428,
1999-05,1.433,
1999-06,1.406,
1999-07,1.414,
1999-08,1.419,
1999-09,1.441,
1999-10,1.453,
1999-11,1.497,
1999-12,1.551,
2000-01,1.541,
2000-02,1.590,
2000-03,1.603,
2000-04,1.637,
2000-05,1.668,
2000-06,1.636,
2000-07,1.649,
2000-08,1.685,
2000-09,1.678,
2000-10,1.678,
2000-11,1.583,
2000-12,1.658,
2001-01,1.602,
2001-02,1.452,
2001-03,1.439,
2001-04,1.433,
2001-05,1.458,
2001-06,1.571,
2001-07,1.476,
2001-08,1.490,
2001-09,1.438,
2001-10,1.450,
2001-11,1.449,
2001-12,1.439,
2002-01,1.450,
2002-02,1.441,
2002-03,1.344,
2002-04,1.239,
2002-05,1.245,
2002-06,1.220,
2002-07,1.220,
2002-08,1.187,
2002-09,1.166,
2002-10,1.125,
2002-11,1.126,
2002-12,1.097,
2003-01,1.108,
2003-02,1.094,
2003-03,1.099,
2003-04,1.090,
2003-05,1.053,
2003-06,1.034,
2003-07,1.029,
2003-08,1.037,
2003-09,1.024,
2003-10,1.022,
2003-11,1.009,
2003-12,0.915,
2004-01,0.839,
2004-02,0.804,
2004-03,0.796,
2004-04,0.734,
2004-05,0.690,
2004-06,0.691,
2004-07,0.651,
2004-08,0.644,
2004-09,0.610,
2004-10,0.496,
2004-11,0.446,
2004-12,0.475,
2005-01,0.468,
2005-02,0.458,
2005-03,0.420,
2005-04,0.427,
2005-05,0.424,
2005-06,0.408,
2005-07,0.330,
2005-08,0.346,
2005-09,0.331,
2005-10,0.315,
2005-11,0.317,
2005-12,0.305,
2006-01,0.202,
2006-02,0.227,
2006-03,0.172,
2006-04,0.160,
2006-05,0.169,
2006-06,0.156,
2006-07,0.157,
2006-08,0.151,
2006-09,0.210,
2006-10,0.212,
2006-11,0.160,
2006-12,0.160,
2007-01,0.174,
2007-02,0.179,
2007-03,0.186,
2007-04,0.164,
2007-05,0.138,
2007-06,0.142,
2007-07,0.146,
2007-08,0.141,
2007-09,0.139,
2007-10,0.164,
2007-11,0.159,
2007-12,0.294,
2008-01,0.285,
2008-02,0.336,
2008-03,0.310,
2008-04,0.307,
2008-05,0.319,
2008-06,0.422,
2008-07,0.365,
2008-08,0.439,
2008-09,0.432,
2008-10,0.457,
2008-11,0.444,
2008-12,0.406,
2009-01,0.409,
2009-02,0.421,
2009-03,0.407,
2009-04,0.392,
2009-05,0.701,
2009-06,0.696,
2009-07,0.669,
2009-08,0.676,
2009-09,0.638,
2009-10,0.635,
2009-11,0.651,
2009-12,0.334,
2010-01,0.346,
2010-02,0.404,
2010-03,0.368,
2010-04,0.370,
2010-05,0.366,
2010-06,0.400,
2010-07,0.378,
2010-08,0.388,
2010-09,0.384,
2010-10,0.373,
2010-11,0.405,
2010-12,0.374,
2011-01,0.368,
2011-02,0.352,
2011-03,0.370,
2011-04,0.343,
2011-05,0.370,
2011-06,0.339,
2011-07,0.338,
2011-08,0.355,
2011-09,0.362,
2011-10,0.370,
2011-11,0.386,
2011-12,0.390,
2012-01,0.395,
2012-02,0.385,
2012-03,0.433,
2012-04,0.485,
2012-05,0.543,
2012-06,0.515,
2012-07,0.553,
2012-08,0.512,
2012-09,0.544,
2012-10,0.536,
2012-11,0.496,
2012-12,0.935,
2013-01,0.465,
2013-02,0.504,
2013-03,0.371,
2013-04,0.386,
2013-05,0.389,
2013-06,0.440,
2013-07,0.378,
2013-08,0.412,
2013-09,0.417,
2013-10,0.434,
2013-11,0.638,
2013-12,0.256,
2014-01,0.209,
2014-02,0.217,
2014-03,0.219,
2014-04,0.225,
2014-05,0.218,
2014-06,0.220,
2014-07,0.109,
2014-08,0.114,
2014-09,0.136,
2014-10,0.112,
2014-11,0.112,
2014-12,0.113,
