"",BBK01.QU4428,BBK01.QU4428_FLAGS
"",Foreign branches: Long-term liabilities to non-residents / United States / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:49:51,
1980-12,0.483,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,0.587,
1981-07,.,No value available
1981-08,.,No value available
1981-09,0.702,
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.687,
1982-01,.,No value available
1982-02,.,No value available
1982-03,0.663,
1982-04,.,No value available
1982-05,.,No value available
1982-06,0.618,
1982-07,0.735,
1982-08,0.635,
1982-09,0.568,
1982-10,0.687,
1982-11,0.921,
1982-12,0.908,
1983-01,0.729,
1983-02,0.608,
1983-03,0.780,
1983-04,0.569,
1983-05,0.563,
1983-06,0.579,
1983-07,0.659,
1983-08,0.656,
1983-09,0.761,
1983-10,0.697,
1983-11,0.992,
1983-12,1.035,
1984-01,1.119,
1984-02,1.094,
1984-03,1.301,
1984-04,1.355,
1984-05,1.372,
1984-06,1.388,
1984-07,1.422,
1984-08,1.451,
1984-09,1.546,
1984-10,1.582,
1984-11,1.607,
1984-12,1.711,
1985-01,1.679,
1985-02,1.831,
1985-03,1.806,
1985-04,1.830,
1985-05,1.839,
1985-06,1.758,
1985-07,1.638,
1985-08,1.740,
1985-09,1.713,
1985-10,1.667,
1985-11,1.605,
1985-12,1.543,
1986-01,1.620,
1986-02,1.507,
1986-03,1.688,
1986-04,1.495,
1986-05,1.718,
1986-06,1.676,
1986-07,1.605,
1986-08,1.774,
1986-09,1.718,
1986-10,1.848,
1986-11,2.237,
1986-12,2.483,
1987-01,2.230,
1987-02,2.398,
1987-03,2.393,
1987-04,2.410,
1987-05,2.472,
1987-06,2.525,
1987-07,2.595,
1987-08,2.516,
1987-09,2.633,
1987-10,2.519,
1987-11,2.442,
1987-12,2.282,
1988-01,2.475,
1988-02,2.557,
1988-03,2.494,
1988-04,2.476,
1988-05,2.483,
1988-06,2.755,
1988-07,2.952,
1988-08,2.999,
1988-09,3.111,
1988-10,2.840,
1988-11,2.709,
1988-12,2.790,
1989-01,3.089,
1989-02,2.914,
1989-03,3.014,
1989-04,3.252,
1989-05,3.436,
1989-06,3.360,
1989-07,3.297,
1989-08,3.574,
1989-09,3.308,
1989-10,3.235,
1989-11,3.252,
1989-12,2.983,
1990-01,3.028,
1990-02,3.320,
1990-03,3.391,
1990-04,3.460,
1990-05,3.574,
1990-06,3.591,
1990-07,3.480,
1990-08,3.452,
1990-09,3.489,
1990-10,3.435,
1990-11,3.372,
1990-12,3.277,
1991-01,3.356,
1991-02,3.322,
1991-03,3.783,
1991-04,3.946,
1991-05,3.921,
1991-06,4.391,
1991-07,4.225,
1991-08,4.442,
1991-09,4.467,
1991-10,4.701,
1991-11,4.436,
1991-12,4.158,
1992-01,4.192,
1992-02,4.670,
1992-03,4.583,
1992-04,4.705,
1992-05,5.012,
1992-06,4.823,
1992-07,4.957,
1992-08,4.750,
1992-09,4.876,
1992-10,5.223,
1992-11,5.631,
1992-12,5.558,
1993-01,5.403,
1993-02,5.638,
1993-03,6.445,
1993-04,6.265,
1993-05,6.331,
1993-06,6.822,
1993-07,6.649,
1993-08,6.293,
1993-09,6.332,
1993-10,6.683,
1993-11,7.079,
1993-12,4.127,
1994-01,3.709,
1994-02,3.779,
1994-03,3.578,
1994-04,3.359,
1994-05,3.322,
1994-06,3.371,
1994-07,3.319,
1994-08,3.258,
1994-09,3.128,
1994-10,3.764,
1994-11,4.034,
1994-12,3.898,
1995-01,3.862,
1995-02,3.859,
1995-03,3.751,
1995-04,3.898,
1995-05,4.233,
1995-06,3.999,
1995-07,4.213,
1995-08,4.509,
1995-09,6.136,
1995-10,6.267,
1995-11,6.253,
1995-12,5.517,
1996-01,4.924,
1996-02,5.277,
1996-03,5.604,
1996-04,6.491,
1996-05,6.572,
1996-06,6.518,
1996-07,6.394,
1996-08,6.678,
1996-09,7.144,
1996-10,7.057,
1996-11,7.112,
1996-12,8.314,
1997-01,8.560,
1997-02,9.725,
1997-03,10.037,
1997-04,11.502,
1997-05,11.688,
1997-06,12.455,
1997-07,14.408,
1997-08,14.169,
1997-09,14.511,
1997-10,13.693,
1997-11,14.109,
1997-12,15.108,
1998-01,14.738,
1998-02,14.787,
1998-03,14.925,
1998-04,14.501,
1998-05,14.212,
1998-06,14.968,
1998-07,16.483,
1998-08,16.507,
1998-09,16.307,
1998-10,15.245,
1998-11,16.056,
1998-12,14.583,
1999-01,15.483,
1999-02,15.422,
1999-03,17.450,
1999-04,19.081,
1999-05,20.666,
1999-06,21.339,
1999-07,21.452,
1999-08,23.059,
1999-09,22.815,
1999-10,22.896,
1999-11,25.807,
1999-12,26.571,
2000-01,28.806,
2000-02,29.888,
2000-03,31.195,
2000-04,35.321,
2000-05,37.044,
2000-06,38.414,
2000-07,43.686,
2000-08,46.584,
2000-09,46.708,
2000-10,48.590,
2000-11,45.330,
2000-12,41.878,
2001-01,41.425,
2001-02,40.296,
2001-03,49.764,
2001-04,50.693,
2001-05,53.885,
2001-06,55.121,
2001-07,55.955,
2001-08,50.589,
2001-09,51.684,
2001-10,51.271,
2001-11,56.851,
2001-12,53.530,
2002-01,52.383,
2002-02,49.878,
2002-03,49.558,
2002-04,48.010,
2002-05,46.819,
2002-06,48.576,
2002-07,49.641,
2002-08,54.468,
2002-09,52.580,
2002-10,54.289,
2002-11,52.719,
2002-12,49.821,
2003-01,52.560,
2003-02,54.339,
2003-03,47.461,
2003-04,46.876,
2003-05,45.001,
2003-06,45.417,
2003-07,41.835,
2003-08,47.668,
2003-09,43.812,
2003-10,41.634,
2003-11,40.605,
2003-12,44.537,
2004-01,43.482,
2004-02,41.982,
2004-03,44.034,
2004-04,42.219,
2004-05,42.809,
2004-06,41.464,
2004-07,44.311,
2004-08,44.460,
2004-09,45.554,
2004-10,48.238,
2004-11,41.167,
2004-12,40.667,
2005-01,45.900,
2005-02,44.626,
2005-03,47.281,
2005-04,46.485,
2005-05,50.565,
2005-06,52.004,
2005-07,53.303,
2005-08,51.833,
2005-09,53.013,
2005-10,53.989,
2005-11,59.198,
2005-12,51.606,
2006-01,51.722,
2006-02,50.950,
2006-03,50.864,
2006-04,46.840,
2006-05,44.039,
2006-06,43.121,
2006-07,42.441,
2006-08,44.259,
2006-09,42.771,
2006-10,34.601,
2006-11,40.290,
2006-12,41.056,
2007-01,40.142,
2007-02,36.117,
2007-03,36.275,
2007-04,36.430,
2007-05,39.107,
2007-06,35.960,
2007-07,36.401,
2007-08,39.004,
2007-09,35.683,
2007-10,32.314,
2007-11,26.411,
2007-12,26.675,
2008-01,25.704,
2008-02,25.490,
2008-03,26.665,
2008-04,27.784,
2008-05,26.395,
2008-06,23.820,
2008-07,23.541,
2008-08,24.185,
2008-09,28.239,
2008-10,30.923,
2008-11,25.662,
2008-12,22.947,
2009-01,25.062,
2009-02,28.006,
2009-03,22.907,
2009-04,22.291,
2009-05,20.236,
2009-06,21.514,
2009-07,19.812,
2009-08,20.083,
2009-09,18.308,
2009-10,16.954,
2009-11,17.326,
2009-12,17.159,
2010-01,18.780,
2010-02,18.593,
2010-03,18.548,
2010-04,20.220,
2010-05,19.911,
2010-06,20.440,
2010-07,22.054,
2010-08,22.680,
2010-09,19.679,
2010-10,17.597,
2010-11,21.489,
2010-12,21.639,
2011-01,20.379,
2011-02,21.580,
2011-03,16.854,
2011-04,17.465,
2011-05,16.805,
2011-06,16.774,
2011-07,16.798,
2011-08,17.736,
2011-09,17.207,
2011-10,16.980,
2011-11,17.467,
2011-12,17.939,
2012-01,17.153,
2012-02,16.434,
2012-03,17.988,
2012-04,17.108,
2012-05,17.214,
2012-06,16.540,
2012-07,17.005,
2012-08,16.757,
2012-09,15.465,
2012-10,14.122,
2012-11,14.338,
2012-12,13.604,
2013-01,12.644,
2013-02,12.232,
2013-03,11.839,
2013-04,11.294,
2013-05,11.357,
2013-06,11.509,
2013-07,11.838,
2013-08,12.421,
2013-09,12.090,
2013-10,12.401,
2013-11,12.029,
2013-12,11.578,
2014-01,10.801,
2014-02,10.040,
2014-03,9.011,
2014-04,8.476,
2014-05,10.648,
2014-06,10.100,
2014-07,10.679,
2014-08,10.614,
2014-09,10.508,
2014-10,9.102,
2014-11,8.675,
