"",BBSF2.M.1.T.00000.TOT01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds total / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:45,
1993-04,163,
1993-05,133,
1993-06,379,
1993-07,70,
1993-08,438,
1993-09,67,
1993-10,581,
1993-11,2094,
1993-12,3016,
1994-01,1316,
1994-02,1195,
1994-03,356,
1994-04,315,
1994-05,156,
1994-06,612,
1994-07,429,
1994-08,445,
1994-09,127,
1994-10,125,
1994-11,2263,
1994-12,3579,
1995-01,1379,
1995-02,1296,
1995-03,387,
1995-04,265,
1995-05,269,
1995-06,498,
1995-07,421,
1995-08,465,
1995-09,157,
1995-10,534,
1995-11,2241,
1995-12,4373,
1996-01,1385,
1996-02,1456,
1996-03,441,
1996-04,425,
1996-05,331,
1996-06,743,
1996-07,141,
1996-08,365,
1996-09,102,
1996-10,128,
1996-11,2311,
1996-12,5356,
1997-01,1751,
1997-02,1768,
1997-03,470,
1997-04,622,
1997-05,304,
1997-06,847,
1997-07,348,
1997-08,556,
1997-09,156,
1997-10,265,
1997-11,2272,
1997-12,6414,
1998-01,1839,
1998-02,2284,
1998-03,830,
1998-04,707,
1998-05,520,
1998-06,1110,
1998-07,359,
1998-08,660,
1998-09,398,
1998-10,202,
1998-11,2412,
1998-12,8561,
1999-01,2527,
1999-02,2363,
1999-03,1155,
1999-04,869,
1999-05,926,
1999-06,1151,
1999-07,307,
1999-08,598,
1999-09,280,
1999-10,255,
1999-11,3252,
1999-12,10345,
2000-01,3560,
2000-02,2498,
2000-03,1611,
2000-04,817,
2000-05,883,
2000-06,1377,
2000-07,358,
2000-08,701,
2000-09,295,
2000-10,350,
2000-11,3127,
2000-12,10961,
2001-01,2907,
2001-02,2210,
2001-03,1613,
2001-04,802,
2001-05,1109,
2001-06,1272,
2001-07,218,
2001-08,714,
2001-09,260,
2001-10,423,
2001-11,3078,
2001-12,9507,
2002-01,2913,
2002-02,2071,
2002-03,1927,
2002-04,784,
2002-05,894,
2002-06,1162,
2002-07,240,
2002-08,569,
2002-09,280,
2002-10,431,
2002-11,3090,
2002-12,9271,
2003-01,2847,
2003-02,2044,
2003-03,1673,
2003-04,722,
2003-05,955,
2003-06,1726,
2003-07,272,
2003-08,626,
2003-09,430,
2003-10,437,
2003-11,3191,
2003-12,8189,
2004-01,2619,
2004-02,1769,
2004-03,2701,
2004-04,832,
2004-05,902,
2004-06,1496,
2004-07,285,
2004-08,532,
2004-09,542,
2004-10,316,
2004-11,3143,
2004-12,8397,
2005-01,2400,
2005-02,1708,
2005-03,1978,
2005-04,1009,
2005-05,1022,
2005-06,1504,
2005-07,526,
2005-08,944,
2005-09,1113,
2005-10,484,
2005-11,2490,
2005-12,9388,
2006-01,2469,
2006-02,2032,
2006-03,1972,
2006-04,1484,
2006-05,980,
2006-06,1367,
2006-07,491,
2006-08,551,
2006-09,717,
2006-10,576,
2006-11,2761,
2006-12,8837,
2007-01,2810,
2007-02,2719,
2007-03,2275,
2007-04,1018,
2007-05,1181,
2007-06,1607,
2007-07,1056,
2007-08,536,
2007-09,656,
2007-10,793,
2007-11,3526,
2007-12,11725,
2008-01,4432,
2008-02,2033,
2008-03,2278,
2008-04,1243,
2008-05,1112,
2008-06,1702,
2008-07,644,
2008-08,483,
2008-09,882,
2008-10,610,
2008-11,4291,
2008-12,9343,
2009-01,3421,
2009-02,1953,
2009-03,1841,
2009-04,1356,
2009-05,1155,
2009-06,1439,
2009-07,1113,
2009-08,877,
2009-09,604,
2009-10,1201,
2009-11,2483,
2009-12,9125,
2010-01,3588,
2010-02,1279,
2010-03,1555,
2010-04,1481,
2010-05,923,
2010-06,1470,
2010-07,1155,
2010-08,548,
2010-09,919,
2010-10,674,
2010-11,3010,
2010-12,10672,
2011-01,3727,
2011-02,2437,
2011-03,1631,
2011-04,973,
2011-05,1499,
2011-06,1976,
2011-07,848,
2011-08,646,
2011-09,1135,
2011-10,1186,
2011-11,3215,
2011-12,10550,
2012-01,3697,
2012-02,2763,
2012-03,2016,
2012-04,1153,
2012-05,1075,
2012-06,1386,
2012-07,1938,
2012-08,1122,
2012-09,1543,
2012-10,1143,
2012-11,3840,
2012-12,11481,
2013-01,4570,
2013-02,3052,
2013-03,1944,
2013-04,1504,
2013-05,1275,
2013-06,1863,
2013-07,725,
2013-08,1187,
2013-09,2931,
2013-10,1676,
2013-11,5227,
2013-12,12412,
2014-01,3706,
2014-02,2974,
2014-03,1509,
2014-04,1281,
2014-05,999,
2014-06,2090,
2014-07,1333,
2014-08,1142,
2014-09,1295,
2014-10,1519,
2014-11,5691,
