"",BBK01.CEF30C,BBK01.CEF30C_FLAGS
"",Debt securities                                  debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:24,
1999-01,12.1,
1999-04,11.6,
1999-07,11.1,
1999-10,8.2,
2000-01,8.8,
2000-04,12.1,
2000-07,11.8,
2000-10,9.0,
2001-01,9.2,
2001-04,8.7,
2001-07,8.8,
2001-10,7.6,
2002-01,6.9,
2002-04,6.7,
2002-07,6.2,
2002-10,8.8,
2003-01,9.6,
2003-04,9.8,
2003-07,9.3,
2003-10,9.7,
2004-01,10.0,
2004-04,10.1,
2004-07,10.4,
2004-10,10.2,
2005-01,10.9,
2005-04,11.1,
2005-07,11.4,
2005-10,10.7,
2006-01,6.3,
2006-04,6.7,
2006-07,7.0,
2006-10,6.7,
2007-01,7.1,
2007-04,7.7,
2007-07,7.8,
2007-10,7.9,
2008-01,23.2,
2008-04,46.5,
2008-07,47.0,
2008-10,46.8,
2009-01,43.8,
2009-04,44.7,
2009-07,47.0,
2009-10,48.8,
2010-01,48.9,
2010-04,53.6,
2010-07,53.6,
2010-10,151.7,
2011-01,142.9,
2011-04,141.1,
2011-07,141.7,
2011-10,138.0,
2012-01,133.9,
2012-04,135.5,
2012-07,130.4,
2012-10,136.7,
2013-01,133.6,
2013-04,131.0,
2013-07,126.8,
2013-10,127.1,
2014-01,125.9,
2014-04,124.9,
2014-07,124.7,
