"",BBK01.OEAC15O,BBK01.OEAC15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:12,
2002-01,3.943,
2002-04,3.960,
2002-07,3.914,
2002-10,3.819,
2003-01,3.829,
2003-04,3.802,
2003-07,3.624,
2003-10,3.518,
2004-01,3.529,
2004-04,3.524,
2004-07,3.428,
2004-10,3.316,
2005-01,3.348,
2005-04,3.303,
2005-07,3.318,
2005-10,3.375,
2006-01,3.401,
2006-04,3.387,
2006-07,3.353,
2006-10,3.318,
2007-01,3.305,
2007-04,3.267,
2007-07,3.262,
2007-10,3.205,
2008-01,3.216,
2008-04,3.220,
2008-07,3.168,
2008-10,3.130,
2009-01,3.136,
2009-04,3.117,
2009-07,3.072,
2009-10,2.994,
2010-01,2.928,
2010-04,2.878,
2010-07,3.002,
2010-10,2.983,
2011-01,2.972,
2011-04,2.961,
2011-07,2.940,
2011-10,2.848,
2012-01,2.899,
2012-04,2.899,
2012-07,2.882,
2012-10,2.866,
2013-01,2.911,
2013-04,2.923,
2013-07,2.865,
2013-10,2.786,
2014-01,2.813,
2014-04,2.803,
2014-07,2.800,
