"",BBK01.OEBL01K,BBK01.OEBL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:01,
2002-01,8.191,
2002-04,8.105,
2002-07,8.016,
2002-10,8.261,
2003-01,8.098,
2003-04,8.163,
2003-07,8.425,
2003-10,8.149,
2004-01,8.385,
2004-04,8.384,
2004-07,8.361,
2004-10,8.665,
2005-01,10.773,
2005-04,10.765,
2005-07,10.630,
2005-10,10.678,
2006-01,10.592,
2006-04,10.791,
2006-07,10.446,
2006-10,10.738,
2007-01,11.204,
2007-04,11.761,
2007-07,12.283,
2007-10,13.228,
2008-01,13.559,
2008-04,13.633,
2008-07,14.111,
2008-10,15.755,
2009-01,15.416,
2009-04,15.481,
2009-07,15.474,
2009-10,15.220,
2010-01,15.220,
2010-04,15.444,
2010-07,14.969,
2010-10,15.762,
2011-01,15.747,
2011-04,15.806,
2011-07,16.306,
2011-10,16.452,
2012-01,16.972,
2012-04,18.143,
2012-07,18.180,
2012-10,18.528,
2013-01,18.203,
2013-04,18.426,
2013-07,18.203,
2013-10,18.920,
2014-01,18.622,
2014-04,18.863,
2014-07,18.970,
