"",BBK01.OEHB01R,BBK01.OEHB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:55,
2002-01,6.662,
2002-04,6.745,
2002-07,6.790,
2002-10,6.853,
2003-01,6.812,
2003-04,6.844,
2003-07,6.863,
2003-10,6.892,
2004-01,6.775,
2004-04,6.746,
2004-07,6.702,
2004-10,6.752,
2005-01,6.633,
2005-04,6.574,
2005-07,6.525,
2005-10,6.510,
2006-01,6.405,
2006-04,6.375,
2006-07,6.340,
2006-10,6.314,
2007-01,6.229,
2007-04,6.205,
2007-07,6.101,
2007-10,6.059,
2008-01,5.986,
2008-04,5.953,
2008-07,5.930,
2008-10,5.936,
2009-01,5.878,
2009-04,5.857,
2009-07,5.862,
2009-10,5.857,
2010-01,5.799,
2010-04,5.816,
2010-07,5.825,
2010-10,5.839,
2011-01,5.842,
2011-04,5.898,
2011-07,5.874,
2011-10,5.918,
2012-01,5.927,
2012-04,5.993,
2012-07,6.054,
2012-10,6.124,
2013-01,6.113,
2013-04,6.198,
2013-07,6.273,
2013-10,6.367,
2014-01,6.429,
2014-04,6.552,
2014-07,6.605,
