"",BBK01.OECB20I,BBK01.OECB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:05,
2002-01,2.886,
2002-04,2.889,
2002-07,2.875,
2002-10,2.832,
2003-01,2.817,
2003-04,2.801,
2003-07,2.816,
2003-10,2.689,
2004-01,2.688,
2004-04,2.678,
2004-07,2.681,
2004-10,2.636,
2005-01,3.630,
2005-04,3.664,
2005-07,3.717,
2005-10,3.772,
2006-01,3.720,
2006-04,3.731,
2006-07,3.754,
2006-10,3.758,
2007-01,3.752,
2007-04,3.798,
2007-07,3.815,
2007-10,3.756,
2008-01,3.749,
2008-04,3.742,
2008-07,3.776,
2008-10,3.755,
2009-01,3.734,
2009-04,5.137,
2009-07,5.045,
2009-10,4.931,
2010-01,4.847,
2010-04,4.637,
2010-07,4.574,
2010-10,4.509,
2011-01,4.554,
2011-04,4.513,
2011-07,4.514,
2011-10,4.503,
2012-01,4.545,
2012-04,4.583,
2012-07,4.614,
2012-10,4.678,
2013-01,4.697,
2013-04,4.766,
2013-07,4.791,
2013-10,4.862,
2014-01,4.917,
2014-04,5.011,
2014-07,5.158,
