"",BBK01.OECB13O,BBK01.OECB13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:03,
2002-01,1.087,
2002-04,1.065,
2002-07,1.098,
2002-10,1.106,
2003-01,0.991,
2003-04,0.973,
2003-07,0.952,
2003-10,0.912,
2004-01,0.891,
2004-04,0.881,
2004-07,0.869,
2004-10,0.843,
2005-01,0.868,
2005-04,0.860,
2005-07,0.855,
2005-10,0.845,
2006-01,0.815,
2006-04,0.807,
2006-07,0.800,
2006-10,0.782,
2007-01,0.765,
2007-04,0.769,
2007-07,0.742,
2007-10,0.727,
2008-01,0.723,
2008-04,0.710,
2008-07,0.692,
2008-10,0.683,
2009-01,0.678,
2009-04,0.705,
2009-07,0.682,
2009-10,0.669,
2010-01,0.663,
2010-04,0.668,
2010-07,0.666,
2010-10,0.668,
2011-01,0.592,
2011-04,0.563,
2011-07,0.553,
2011-10,0.526,
2012-01,0.484,
2012-04,0.474,
2012-07,0.459,
2012-10,0.468,
2013-01,0.462,
2013-04,0.446,
2013-07,0.484,
2013-10,0.488,
2014-01,0.474,
2014-04,0.473,
2014-07,0.410,
