"",BBK01.CELE1NE,BBK01.CELE1NE_FLAGS
"",short-term loans                                              debtor: Non-financial corporations  creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:47,
1999-01,5.2,
1999-04,6.4,
1999-07,1.7,
1999-10,9.9,
2000-01,-3.9,
2000-04,7.3,
2000-07,28.5,
2000-10,-9.9,
2001-01,0.4,
2001-04,9.0,
2001-07,-3.2,
2001-10,-0.6,
2002-01,4.8,
2002-04,-5.6,
2002-07,0.7,
2002-10,-8.9,
2003-01,3.1,
2003-04,5.7,
2003-07,3.0,
2003-10,-3.2,
2004-01,-2.6,
2004-04,-1.4,
2004-07,-0.7,
2004-10,1.4,
2005-01,-3.7,
2005-04,-2.2,
2005-07,1.0,
2005-10,6.1,
2006-01,3.5,
2006-04,7.5,
2006-07,9.9,
2006-10,-4.5,
2007-01,20.5,
2007-04,3.1,
2007-07,3.0,
2007-10,-13.6,
2008-01,-3.6,
2008-04,6.0,
2008-07,-5.8,
2008-10,3.3,
2009-01,-3.5,
2009-04,-7.9,
2009-07,1.1,
2009-10,4.0,
2010-01,7.7,
2010-04,-4.2,
2010-07,6.2,
2010-10,-5.8,
2011-01,-3.5,
2011-04,8.8,
2011-07,7.4,
2011-10,2.3,
2012-01,4.4,
2012-04,4.5,
2012-07,5.4,
2012-10,-1.9,
2013-01,-3.5,
2013-04,4.3,
2013-07,-3.6,
2013-10,-3.4,
2014-01,-3.8,
2014-04,1.7,
2014-07,-7.2,
