"",BBFN1.M.DE.N.1.A.MA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Morocco,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:19,
1994-07,0.119,
1994-08,0.129,
1994-09,0.126,
1994-10,0.130,
1994-11,0.128,
1994-12,0.139,
1995-01,0.134,
1995-02,0.142,
1995-03,0.136,
1995-04,0.131,
1995-05,0.128,
1995-06,0.148,
1995-07,0.156,
1995-08,0.149,
1995-09,0.154,
1995-10,0.141,
1995-11,0.154,
1995-12,0.149,
1996-01,0.156,
1996-02,0.162,
1996-03,0.142,
1996-04,0.139,
1996-05,0.135,
1996-06,0.137,
1996-07,0.143,
1996-08,0.145,
1996-09,0.149,
1996-10,0.150,
1996-11,0.153,
1996-12,0.163,
1997-01,0.154,
1997-02,0.155,
1997-03,0.154,
1997-04,0.149,
1997-05,0.148,
1997-06,0.155,
1997-07,0.163,
1997-08,0.151,
1997-09,0.153,
1997-10,0.164,
1997-11,0.164,
1997-12,0.168,
1998-01,0.153,
1998-02,0.161,
1998-03,0.159,
1998-04,0.166,
1998-05,0.170,
1998-06,0.170,
1998-07,0.164,
1998-08,0.156,
1998-09,0.151,
1998-10,0.145,
1998-11,0.140,
1998-12,0.139,
1999-01,0.141,
1999-02,0.140,
1999-03,0.139,
1999-04,0.142,
1999-05,0.140,
1999-06,0.146,
1999-07,0.147,
1999-08,0.144,
1999-09,0.145,
1999-10,0.140,
1999-11,0.146,
1999-12,0.134,
2000-01,0.149,
2000-02,0.143,
2000-03,0.145,
2000-04,0.142,
2000-05,0.140,
2000-06,0.182,
2000-07,0.191,
2000-08,0.171,
2000-09,0.195,
2000-10,0.193,
2000-11,0.184,
2000-12,0.184,
2001-01,0.174,
2001-02,0.180,
2001-03,0.181,
2001-04,0.181,
2001-05,0.193,
2001-06,0.196,
2001-07,0.184,
2001-08,0.193,
2001-09,0.211,
2001-10,0.197,
2001-11,0.210,
2001-12,0.211,
2002-01,0.193,
2002-02,0.193,
2002-03,0.209,
2002-04,0.217,
2002-05,0.212,
2002-06,0.213,
2002-07,0.214,
2002-08,0.206,
2002-09,0.178,
2002-10,0.176,
2002-11,0.192,
2002-12,0.172,
2003-01,0.180,
2003-02,0.170,
2003-03,0.172,
2003-04,0.175,
2003-05,0.187,
2003-06,0.179,
2003-07,0.169,
2003-08,0.165,
2003-09,0.155,
2003-10,0.156,
2003-11,0.163,
2003-12,0.168,
2004-01,0.165,
2004-02,0.177,
2004-03,0.162,
2004-04,0.172,
2004-05,0.190,
2004-06,0.201,
2004-07,0.204,
2004-08,0.196,
2004-09,0.202,
2004-10,0.201,
2004-11,0.184,
2004-12,0.180,
2005-01,0.176,
2005-02,0.187,
2005-03,0.203,
2005-04,0.212,
2005-05,0.209,
2005-06,0.226,
2005-07,0.224,
2005-08,0.206,
2005-09,0.209,
2005-10,0.207,
2005-11,0.206,
2005-12,0.186,
2006-01,0.197,
2006-02,0.205,
2006-03,0.219,
2006-04,0.231,
2006-05,0.210,
2006-06,0.237,
2006-07,0.238,
2006-08,0.244,
2006-09,0.236,
2006-10,0.239,
2006-11,0.275,
2006-12,0.274,
2007-01,0.251,
2007-02,0.259,
2007-03,0.262,
2007-04,0.281,
2007-05,0.306,
2007-06,0.276,
2007-07,0.291,
2007-08,0.287,
2007-09,0.297,
2007-10,0.292,
2007-11,0.297,
2007-12,0.278,
2008-01,0.292,
2008-02,0.300,
2008-03,0.306,
2008-04,0.348,
2008-05,0.320,
2008-06,0.342,
2008-07,0.354,
2008-08,0.502,
2008-09,0.354,
2008-10,0.371,
2008-11,0.327,
2008-12,0.298,
2009-01,0.245,
2009-02,0.281,
2009-03,0.257,
2009-04,0.261,
2009-05,0.254,
2009-06,0.258,
2009-07,0.267,
2009-08,0.273,
2009-09,0.251,
2009-10,0.262,
2009-11,0.267,
2009-12,0.276,
2010-01,0.245,
2010-02,0.254,
2010-03,0.266,
2010-04,0.279,
2010-05,0.316,
2010-06,0.287,
2010-07,0.275,
2010-08,0.294,
2010-09,0.268,
2010-10,0.284,
2010-11,0.311,
2010-12,0.281,
2011-01,0.272,
2011-02,0.307,
2011-03,0.321,
2011-04,0.320,
2011-05,0.343,
2011-06,0.332,
2011-07,0.316,
2011-08,0.318,
2011-09,0.361,
2011-10,0.346,
2011-11,0.382,
2011-12,0.300,
2012-01,0.267,
2012-02,0.291,
2012-03,0.334,
2012-04,0.329,
2012-05,0.332,
2012-06,0.325,
2012-07,0.327,
2012-08,0.337,
2012-09,0.339,
2012-10,0.381,
2012-11,0.358,
2012-12,0.312,
2013-01,0.285,
2013-02,0.310,
2013-03,0.336,
2013-04,0.359,
2013-05,0.346,
2013-06,0.324,
2013-07,0.334,
2013-08,0.368,
2013-09,0.331,
2013-10,0.319,
2013-11,0.341,
2013-12,0.326,
2014-01,0.315,
2014-02,0.325,
2014-03,0.395,
2014-04,0.401,
2014-05,0.382,
2014-06,0.404,
2014-07,0.386,
2014-08,0.389,
2014-09,0.381,
2014-10,0.396,
2014-11,0.399,
2014-12,0.377,
