"",BBK01.OEAN03T,BBK01.OEAN03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:17,
2002-01,3.207,
2002-04,3.077,
2002-07,3.070,
2002-10,3.111,
2003-01,3.116,
2003-04,3.040,
2003-07,2.819,
2003-10,2.817,
2004-01,2.764,
2004-04,2.719,
2004-07,2.653,
2004-10,2.640,
2005-01,2.590,
2005-04,2.527,
2005-07,2.538,
2005-10,2.506,
2006-01,2.473,
2006-04,2.414,
2006-07,2.326,
2006-10,2.269,
2007-01,2.227,
2007-04,2.136,
2007-07,2.062,
2007-10,2.047,
2008-01,2.008,
2008-04,1.947,
2008-07,1.909,
2008-10,1.889,
2009-01,1.971,
2009-04,2.062,
2009-07,2.196,
2009-10,2.336,
2010-01,2.299,
2010-04,2.318,
2010-07,2.367,
2010-10,2.395,
2011-01,2.285,
2011-04,2.319,
2011-07,2.331,
2011-10,2.330,
2012-01,2.270,
2012-04,2.281,
2012-07,2.333,
2012-10,2.590,
2013-01,2.677,
2013-04,2.523,
2013-07,2.572,
2013-10,2.668,
2014-01,2.772,
2014-04,2.822,
2014-07,2.849,
