"",BBFB1.M.N.DE.W1.S1.S1.T.B.SB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SB._Z._Z._Z._T._X.N_FLAGS
"",Current account / Maintenance and repair service / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:42,
1991-01,61.859,
1991-02,94.104,
1991-03,44.029,
1991-04,66.013,
1991-05,23.651,
1991-06,35.792,
1991-07,86.480,
1991-08,36.696,
1991-09,77.988,
1991-10,54.719,
1991-11,70.784,
1991-12,87.977,
1992-01,29.336,
1992-02,89.727,
1992-03,39.498,
1992-04,41.889,
1992-05,40.818,
1992-06,53.744,
1992-07,33.601,
1992-08,47.264,
1992-09,61.343,
1992-10,53.348,
1992-11,39.075,
1992-12,81.544,
1993-01,28.349,
1993-02,68.666,
1993-03,-9.698,
1993-04,33.808,
1993-05,35.779,
1993-06,32.079,
1993-07,52.591,
1993-08,21.494,
1993-09,56.612,
1993-10,23.901,
1993-11,70.724,
1993-12,87.210,
1994-01,48.290,
1994-02,62.110,
1994-03,22.110,
1994-04,47.511,
1994-05,33.814,
1994-06,56.253,
1994-07,69.624,
1994-08,53.253,
1994-09,45.660,
1994-10,71.712,
1994-11,59.478,
1994-12,46.776,
1995-01,75.917,
1995-02,67.004,
1995-03,19.826,
1995-04,34.129,
1995-05,69.915,
1995-06,54.979,
1995-07,45.137,
1995-08,57.824,
1995-09,36.330,
1995-10,74.768,
1995-11,54.484,
1995-12,59.978,
1996-01,58.016,
1996-02,35.498,
1996-03,19.321,
1996-04,60.594,
1996-05,29.877,
1996-06,53.368,
1996-07,55.433,
1996-08,53.843,
1996-09,35.112,
1996-10,76.508,
1996-11,63.579,
1996-12,94.085,
1997-01,62.999,
1997-02,36.648,
1997-03,30.918,
1997-04,92.392,
1997-05,41.590,
1997-06,83.163,
1997-07,6.421,
1997-08,70.013,
1997-09,74.930,
1997-10,42.092,
1997-11,84.814,
1997-12,90.504,
1998-01,32.449,
1998-02,33.973,
1998-03,84.887,
1998-04,63.924,
1998-05,34.666,
1998-06,77.141,
1998-07,61.523,
1998-08,62.285,
1998-09,46.724,
1998-10,16.689,
1998-11,71.088,
1998-12,45.344,
1999-01,50.770,
1999-02,-34.451,
1999-03,34.955,
1999-04,19.166,
1999-05,9.990,
1999-06,42.251,
1999-07,64.053,
1999-08,31.507,
1999-09,46.489,
1999-10,50.173,
1999-11,10.366,
1999-12,75.609,
2000-01,38.415,
2000-02,32.305,
2000-03,-8.451,
2000-04,85.422,
2000-05,56.363,
2000-06,15.365,
2000-07,64.190,
2000-08,18.625,
2000-09,61.223,
2000-10,37.991,
2000-11,22.068,
2000-12,26.361,
2001-01,60.797,
2001-02,10.325,
2001-03,28.833,
2001-04,58.637,
2001-05,42.152,
2001-06,56.970,
2001-07,63.736,
2001-08,68.278,
2001-09,35.791,
2001-10,78.257,
2001-11,33.394,
2001-12,56.494,
2002-01,26.636,
2002-02,63.756,
2002-03,80.909,
2002-04,35.529,
2002-05,15.171,
2002-06,61.635,
2002-07,69.905,
2002-08,51.348,
2002-09,25.158,
2002-10,43.768,
2002-11,54.198,
2002-12,36.696,
2003-01,18.523,
2003-02,43.983,
2003-03,26.411,
2003-04,33.223,
2003-05,8.869,
2003-06,28.846,
2003-07,-6.731,
2003-08,36.816,
2003-09,65.736,
2003-10,-32.964,
2003-11,20.115,
2003-12,1.148,
2004-01,-10.840,
2004-02,21.658,
2004-03,-13.787,
2004-04,-7.664,
2004-05,38.139,
2004-06,-8.599,
2004-07,10.334,
2004-08,49.603,
2004-09,29.786,
2004-10,23.727,
2004-11,18.210,
2004-12,3.520,
2005-01,4.438,
2005-02,24.499,
2005-03,41.568,
2005-04,92.787,
2005-05,83.826,
2005-06,90.210,
2005-07,67.417,
2005-08,11.302,
2005-09,57.852,
2005-10,69.127,
2005-11,22.979,
2005-12,159.407,
2006-01,28.324,
2006-02,9.556,
2006-03,1.871,
2006-04,56.864,
2006-05,67.105,
2006-06,63.881,
2006-07,107.640,
2006-08,36.477,
2006-09,36.433,
2006-10,100.613,
2006-11,24.662,
2006-12,253.598,
2007-01,27.663,
2007-02,127.840,
2007-03,145.788,
2007-04,162.445,
2007-05,188.540,
2007-06,141.241,
2007-07,165.068,
2007-08,156.420,
2007-09,156.856,
2007-10,175.200,
2007-11,126.745,
2007-12,263.008,
2008-01,139.372,
2008-02,146.784,
2008-03,123.326,
2008-04,130.471,
2008-05,188.132,
2008-06,125.849,
2008-07,153.401,
2008-08,140.429,
2008-09,136.971,
2008-10,105.286,
2008-11,89.323,
2008-12,166.192,
2009-01,90.811,
2009-02,96.104,
2009-03,143.556,
2009-04,157.902,
2009-05,100.400,
2009-06,148.649,
2009-07,140.100,
2009-08,157.924,
2009-09,128.911,
2009-10,139.920,
2009-11,165.290,
2009-12,146.687,
2010-01,90.735,
2010-02,95.649,
2010-03,127.692,
2010-04,115.016,
2010-05,144.687,
2010-06,140.613,
2010-07,130.141,
2010-08,131.462,
2010-09,147.531,
2010-10,126.659,
2010-11,137.774,
2010-12,135.684,
2011-01,102.990,
2011-02,88.047,
2011-03,109.172,
2011-04,131.854,
2011-05,115.558,
2011-06,94.233,
2011-07,84.960,
2011-08,113.046,
2011-09,111.679,
2011-10,113.806,
2011-11,94.238,
2011-12,169.385,
2012-01,163.235,
2012-02,107.082,
2012-03,131.669,
2012-04,110.385,
2012-05,137.407,
2012-06,124.355,
2012-07,161.574,
2012-08,140.791,
2012-09,145.430,
2012-10,171.929,
2012-11,151.446,
2012-12,166.753,
2013-01,-378.461,
2013-02,-369.936,
2013-03,-325.726,
2013-04,-401.917,
2013-05,-273.431,
2013-06,-422.446,
2013-07,-425.186,
2013-08,-379.448,
2013-09,-419.104,
2013-10,-252.437,
2013-11,-364.326,
2013-12,-378.509,
2014-01,-247.830,
2014-02,-148.830,Provisional value
2014-03,-27.176,Provisional value
2014-04,-39.105,Provisional value
