"",BBK01.OEAN07O,BBK01.OEAN07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:07,
2002-01,0.111,
2002-04,0.126,
2002-07,0.124,
2002-10,0.121,
2003-01,0.100,
2003-04,0.108,
2003-07,0.117,
2003-10,0.121,
2004-01,0.123,
2004-04,0.160,
2004-07,0.188,
2004-10,0.203,
2005-01,0.515,
2005-04,0.521,
2005-07,0.537,
2005-10,0.499,
2006-01,0.495,
2006-04,0.507,
2006-07,0.506,
2006-10,0.528,
2007-01,0.479,
2007-04,0.461,
2007-07,0.465,
2007-10,0.466,
2008-01,0.455,
2008-04,0.436,
2008-07,0.402,
2008-10,0.361,
2009-01,0.310,
2009-04,0.295,
2009-07,0.306,
2009-10,0.364,
2010-01,0.360,
2010-04,0.395,
2010-07,0.379,
2010-10,0.358,
2011-01,0.346,
2011-04,0.357,
2011-07,0.380,
2011-10,0.351,
2012-01,0.395,
2012-04,0.369,
2012-07,0.363,
2012-10,0.376,
2013-01,0.376,
2013-04,0.389,
2013-07,0.394,
2013-10,0.396,
2014-01,0.361,
2014-04,0.366,
2014-07,0.359,
