"",BBK01.OEAA26M,BBK01.OEAA26M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:48,
2002-01,5.099,
2002-04,5.161,
2002-07,5.073,
2002-10,4.925,
2003-01,4.888,
2003-04,4.889,
2003-07,4.764,
2003-10,4.475,
2004-01,4.382,
2004-04,4.379,
2004-07,4.268,
2004-10,4.026,
2005-01,4.003,
2005-04,3.958,
2005-07,3.918,
2005-10,3.689,
2006-01,3.706,
2006-04,3.712,
2006-07,3.602,
2006-10,3.354,
2007-01,3.703,
2007-04,3.791,
2007-07,3.623,
2007-10,3.535,
2008-01,3.659,
2008-04,3.680,
2008-07,3.665,
2008-10,3.588,
2009-01,3.594,
2009-04,3.632,
2009-07,3.544,
2009-10,3.315,
2010-01,3.389,
2010-04,3.314,
2010-07,3.196,
2010-10,3.019,
2011-01,3.079,
2011-04,3.206,
2011-07,3.120,
2011-10,3.015,
2012-01,3.079,
2012-04,3.114,
2012-07,2.987,
2012-10,2.872,
2013-01,2.947,
2013-04,3.042,
2013-07,2.911,
2013-10,2.777,
2014-01,2.822,
2014-04,2.933,
2014-07,2.888,
