"",BBK01.OEAH44U,BBK01.OEAH44U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:27,
2002-01,0.853,
2002-04,0.895,
2002-07,0.933,
2002-10,0.982,
2003-01,0.961,
2003-04,0.950,
2003-07,1.002,
2003-10,1.014,
2004-01,0.988,
2004-04,0.998,
2004-07,1.020,
2004-10,1.078,
2005-01,1.024,
2005-04,1.049,
2005-07,1.102,
2005-10,1.154,
2006-01,1.103,
2006-04,1.127,
2006-07,1.163,
2006-10,1.229,
2007-01,1.194,
2007-04,1.369,
2007-07,1.245,
2007-10,1.294,
2008-01,1.240,
2008-04,1.244,
2008-07,1.257,
2008-10,1.369,
2009-01,1.383,
2009-04,1.438,
2009-07,1.545,
2009-10,1.664,
2010-01,1.603,
2010-04,1.680,
2010-07,1.744,
2010-10,1.831,
2011-01,1.778,
2011-04,1.787,
2011-07,1.878,
2011-10,1.937,
2012-01,1.888,
2012-04,1.955,
2012-07,2.021,
2012-10,2.082,
2013-01,2.057,
2013-04,2.078,
2013-07,2.185,
2013-10,2.284,
2014-01,2.237,
2014-04,2.275,
2014-07,2.356,
