"",BBFN1.M.DE.N.1.A.SG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:07,
1994-07,0.507,
1994-08,0.622,
1994-09,0.672,
1994-10,0.642,
1994-11,0.614,
1994-12,0.617,
1995-01,0.638,
1995-02,0.573,
1995-03,0.610,
1995-04,0.619,
1995-05,0.616,
1995-06,0.633,
1995-07,0.710,
1995-08,0.730,
1995-09,0.765,
1995-10,0.782,
1995-11,0.733,
1995-12,0.727,
1996-01,0.756,
1996-02,0.760,
1996-03,0.763,
1996-04,0.762,
1996-05,0.756,
1996-06,0.768,
1996-07,0.765,
1996-08,0.764,
1996-09,0.766,
1996-10,0.796,
1996-11,0.883,
1996-12,0.805,
1997-01,0.809,
1997-02,0.841,
1997-03,0.814,
1997-04,0.862,
1997-05,0.894,
1997-06,0.933,
1997-07,1.023,
1997-08,0.985,
1997-09,1.048,
1997-10,1.072,
1997-11,1.033,
1997-12,1.116,
1998-01,1.045,
1998-02,1.026,
1998-03,1.053,
1998-04,1.036,
1998-05,1.038,
1998-06,0.981,
1998-07,0.955,
1998-08,0.938,
1998-09,1.002,
1998-10,1.023,
1998-11,0.956,
1998-12,0.949,
1999-01,0.935,
1999-02,0.932,
1999-03,0.944,
1999-04,1.077,
1999-05,0.997,
1999-06,0.968,
1999-07,0.973,
1999-08,1.024,
1999-09,1.013,
1999-10,1.172,
1999-11,1.252,
1999-12,1.292,
2000-01,1.256,
2000-02,1.246,
2000-03,1.293,
2000-04,1.267,
2000-05,1.396,
2000-06,1.537,
2000-07,1.481,
2000-08,1.546,
2000-09,1.591,
2000-10,1.504,
2000-11,1.491,
2000-12,1.504,
2001-01,1.506,
2001-02,1.488,
2001-03,1.463,
2001-04,1.496,
2001-05,1.477,
2001-06,1.426,
2001-07,1.337,
2001-08,1.328,
2001-09,1.362,
2001-10,1.312,
2001-11,1.328,
2001-12,1.393,
2002-01,1.258,
2002-02,1.329,
2002-03,1.319,
2002-04,1.403,
2002-05,1.490,
2002-06,1.514,
2002-07,1.566,
2002-08,1.549,
2002-09,1.630,
2002-10,1.674,
2002-11,1.673,
2002-12,1.639,
2003-01,1.471,
2003-02,1.400,
2003-03,1.383,
2003-04,1.404,
2003-05,1.443,
2003-06,1.386,
2003-07,1.444,
2003-08,1.364,
2003-09,1.442,
2003-10,1.354,
2003-11,1.441,
2003-12,1.441,
2004-01,1.356,
2004-02,1.435,
2004-03,1.506,
2004-04,1.490,
2004-05,1.524,
2004-06,1.497,
2004-07,1.503,
2004-08,1.609,
2004-09,1.687,
2004-10,1.635,
2004-11,1.582,
2004-12,1.485,
2005-01,1.403,
2005-02,1.385,
2005-03,1.522,
2005-04,1.616,
2005-05,1.587,
2005-06,1.683,
2005-07,1.564,
2005-08,1.589,
2005-09,1.642,
2005-10,1.607,
2005-11,1.651,
2005-12,1.652,
2006-01,1.679,
2006-02,1.686,
2006-03,1.755,
2006-04,1.750,
2006-05,1.917,
2006-06,1.933,
2006-07,1.632,
2006-08,1.743,
2006-09,1.807,
2006-10,1.729,
2006-11,1.821,
2006-12,1.766,
2007-01,1.666,
2007-02,1.755,
2007-03,1.836,
2007-04,1.760,
2007-05,1.740,
2007-06,1.887,
2007-07,1.849,
2007-08,1.843,
2007-09,2.034,
2007-10,2.047,
2007-11,1.947,
2007-12,1.828,
2008-01,1.781,
2008-02,1.800,
2008-03,1.904,
2008-04,1.865,
2008-05,1.841,
2008-06,1.814,
2008-07,1.891,
2008-08,2.042,
2008-09,1.856,
2008-10,1.900,
2008-11,1.669,
2008-12,1.572,
2009-01,1.409,
2009-02,1.344,
2009-03,1.392,
2009-04,1.494,
2009-05,1.522,
2009-06,1.462,
2009-07,1.538,
2009-08,1.581,
2009-09,1.598,
2009-10,1.648,
2009-11,1.716,
2009-12,1.550,
2010-01,1.621,
2010-02,1.676,
2010-03,1.859,
2010-04,1.962,
2010-05,2.259,
2010-06,2.236,
2010-07,2.262,
2010-08,2.282,
2010-09,2.181,
2010-10,2.141,
2010-11,2.235,
2010-12,2.242,
2011-01,2.256,
2011-02,2.196,
2011-03,2.351,
2011-04,2.375,
2011-05,2.675,
2011-06,2.515,
2011-07,2.326,
2011-08,2.180,
2011-09,2.345,
2011-10,2.444,
2011-11,2.322,
2011-12,2.389,
2012-01,2.416,
2012-02,2.223,
2012-03,2.561,
2012-04,2.484,
2012-05,2.763,
2012-06,3.137,
2012-07,2.667,
2012-08,2.552,
2012-09,2.531,
2012-10,2.476,
2012-11,2.364,
2012-12,2.430,
2013-01,2.346,
2013-02,2.240,
2013-03,2.604,
2013-04,2.459,
2013-05,2.450,
2013-06,2.735,
2013-07,2.642,
2013-08,2.608,
2013-09,2.649,
2013-10,2.675,
2013-11,2.732,
2013-12,2.701,
2014-01,2.399,
2014-02,2.379,
2014-03,2.536,
2014-04,2.461,
2014-05,2.467,
2014-06,2.521,
2014-07,2.650,
2014-08,2.604,
2014-09,2.731,
2014-10,2.731,
2014-11,2.610,
2014-12,2.758,
