"",BBFB1.Q.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:26:57,
1991-01,80527.617,
1991-04,78956.274,
1991-07,79735.198,
1991-10,85131.594,
1992-01,83717.566,
1992-04,79861.267,
1992-07,80288.845,
1992-10,82205.410,
1993-01,75561.949,
1993-04,75364.907,
1993-07,72598.610,
1993-10,80834.019,
1994-01,79082.569,
1994-04,85478.431,
1994-07,81413.608,
1994-10,89036.258,
1995-01,89219.160,
1995-04,90670.434,
1995-07,87148.686,
1995-10,95199.264,
1996-01,92905.619,
1996-04,93532.367,
1996-07,92995.114,
1996-10,102030.657,
1997-01,97746.274,
1997-04,107138.495,
1997-07,108368.229,
1997-10,115842.522,
1998-01,112920.477,
1998-04,117149.831,
1998-07,111792.103,
1998-10,116719.397,
1999-01,111025.542,
1999-04,119722.065,
1999-07,118830.125,
1999-10,130185.356,
2000-01,132385.874,
2000-04,138055.187,
2000-07,137806.235,
2000-10,153951.698,
2001-01,150502.000,
2001-04,150862.215,
2001-07,146599.095,
2001-10,151258.051,
2002-01,145606.175,
2002-04,154588.396,
2002-07,152914.529,
2002-10,158739.314,
2003-01,151983.516,
2003-04,151614.415,
2003-07,155044.351,
2003-10,161034.688,
2004-01,165612.119,
2004-04,174422.350,
2004-07,168901.133,
2004-10,177145.251,
2005-01,173551.342,
2005-04,184982.846,
2005-07,186088.252,
2005-10,195326.912,
2006-01,202527.175,
2006-04,203463.859,
2006-07,207882.498,
2006-10,227608.196,
2007-01,228184.048,
2007-04,229259.199,
2007-07,231146.705,
2007-10,238186.845,
2008-01,240132.294,
2008-04,247029.957,
2008-07,238663.142,
2008-10,222909.216,
2009-01,189171.219,
2009-04,182829.264,
2009-07,192730.246,
2009-10,205658.309,
2010-01,209347.576,
2010-04,228226.697,
2010-07,233953.066,
2010-10,246812.601,
2011-01,254688.190,
2011-04,257259.544,
2011-07,258288.313,
2011-10,259750.840,
2012-01,272031.332,
2012-04,268287.956,
2012-07,269313.360,
2012-10,264311.518,
2013-01,268227.021,
2013-04,272324.552,
2013-07,270044.809,
2013-10,273051.302,
2014-01,276343.721,Provisional value
2014-04,276687.978,Provisional value
2014-07,284663.706,Provisional value
