"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z06.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign non-banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:28,
1968-12,0.140,
1969-01,0.154,
1969-02,0.155,
1969-03,0.178,
1969-04,0.207,
1969-05,0.228,
1969-06,0.222,
1969-07,0.298,
1969-08,0.312,
1969-09,0.295,
1969-10,0.298,
1969-11,0.472,
1969-12,0.465,
1970-01,0.414,
1970-02,0.414,
1970-03,0.412,
1970-04,0.469,
1970-05,0.439,
1970-06,0.461,
1970-07,0.427,
1970-08,0.491,
1970-09,0.550,
1970-10,0.455,
1970-11,0.499,
1970-12,0.535,
1971-01,0.194,
1971-02,0.219,
1971-03,0.238,
1971-04,0.221,
1971-05,0.214,
1971-06,0.407,
1971-07,0.416,
1971-08,0.414,
1971-09,0.446,
1971-10,0.422,
1971-11,0.398,
1971-12,0.384,
1972-01,0.391,
1972-02,0.392,
1972-03,0.404,
1972-04,0.384,
1972-05,0.384,
1972-06,0.417,
1972-07,0.390,
1972-08,0.394,
1972-09,0.379,
1972-10,0.362,
1972-11,0.361,
1972-12,0.406,
1973-01,0.364,
1973-02,0.329,
1973-03,0.339,
1973-04,0.378,
1973-05,0.358,
1973-06,0.341,
1973-07,0.346,
1973-08,0.321,
1973-09,0.316,
1973-10,0.308,
1973-11,0.330,
1973-12,0.342,
1974-01,0.422,
1974-02,0.395,
1974-03,0.418,
1974-04,0.524,
1974-05,0.556,
1974-06,0.392,
1974-07,0.470,
1974-08,0.447,
1974-09,0.436,
1974-10,0.420,
1974-11,0.456,
1974-12,0.440,
1975-01,0.406,
1975-02,0.441,
1975-03,0.468,
1975-04,0.513,
1975-05,0.549,
1975-06,0.555,
1975-07,0.612,
1975-08,0.596,
1975-09,0.657,
1975-10,0.612,
1975-11,0.646,
1975-12,0.658,
1976-01,0.698,
1976-02,0.711,
1976-03,0.752,
1976-04,0.768,
1976-05,0.850,
1976-06,0.842,
1976-07,0.902,
1976-08,0.961,
1976-09,1.102,
1976-10,1.089,
1976-11,1.162,
1976-12,1.087,
1977-01,1.031,
1977-02,1.035,
1977-03,0.998,
1977-04,1.080,
1977-05,1.052,
1977-06,1.126,
1977-07,1.120,
1977-08,1.301,
1977-09,1.174,
1977-10,1.089,
1977-11,1.195,
1977-12,0.953,
1978-01,1.170,
1978-02,1.043,
1978-03,1.060,
1978-04,1.104,
1978-05,1.310,
1978-06,1.237,
1978-07,1.151,
1978-08,1.142,
1978-09,1.239,
1978-10,1.134,
1978-11,1.262,
1978-12,1.556,
1979-01,1.711,
1979-02,1.664,
1979-03,1.632,
1979-04,1.952,
1979-05,1.919,
1979-06,1.968,
1979-07,1.911,
1979-08,1.878,
1979-09,1.984,
1979-10,2.133,
1979-11,2.198,
1979-12,2.063,
1980-01,2.195,
1980-02,2.185,
1980-03,2.232,
1980-04,2.432,
1980-05,2.497,
1980-06,2.477,
1980-07,2.380,
1980-08,2.379,
1980-09,2.291,
1980-10,2.331,
1980-11,1.919,
1980-12,2.100,
1981-01,2.414,
1981-02,2.597,
1981-03,2.681,
1981-04,2.638,
1981-05,2.621,
1981-06,2.535,
1981-07,2.506,
1981-08,2.684,
1981-09,2.508,
1981-10,2.568,
1981-11,2.538,
1981-12,2.352,
1982-01,2.492,
1982-02,2.841,
1982-03,2.632,
1982-04,2.560,
1982-05,2.664,
1982-06,2.710,
1982-07,2.804,
1982-08,3.052,
1982-09,3.226,
1982-10,3.126,
1982-11,3.036,
1982-12,2.891,
1983-01,2.958,
1983-02,2.838,
1983-03,2.936,
1983-04,3.010,
1983-05,2.927,
1983-06,3.015,
1983-07,3.165,
1983-08,3.140,
1983-09,3.423,
1983-10,3.251,
1983-11,3.327,
1983-12,3.045,
1984-01,3.296,
1984-02,3.423,
1984-03,3.683,
1984-04,3.865,
1984-05,3.750,
1984-06,3.689,
1984-07,3.601,
1984-08,3.936,
1984-09,4.888,
1984-10,4.208,
1984-11,4.072,
1984-12,3.970,
1985-01,4.367,
1985-02,4.494,
1985-03,4.703,
1985-04,4.729,
1985-05,4.806,
1985-06,4.670,
1985-07,4.555,
1985-08,5.419,
1985-09,5.422,
1985-10,5.055,
1985-11,4.871,
1985-12,4.657,
1986-01,4.708,
1986-02,4.574,
1986-03,5.112,
1986-04,4.941,
1986-05,5.356,
1986-06,5.276,
1986-07,5.167,
1986-08,5.294,
1986-09,5.005,
1986-10,5.088,
1986-11,5.106,
1986-12,4.744,
1987-01,4.812,
1987-02,5.068,
1987-03,4.931,
1987-04,4.968,
1987-05,5.036,
1987-06,4.630,
1987-07,4.567,
1987-08,4.335,
1987-09,4.288,
1987-10,4.058,
1987-11,3.985,
1987-12,3.870,
1988-01,3.557,
1988-02,3.988,
1988-03,4.230,
1988-04,4.488,
1988-05,4.639,
1988-06,4.482,
1988-07,4.736,
1988-08,4.803,
1988-09,4.964,
1988-10,4.577,
1988-11,4.564,
1988-12,5.091,
1989-01,4.571,
1989-02,4.433,
1989-03,4.592,
1989-04,4.806,
1989-05,5.152,
1989-06,5.736,
1989-07,5.585,
1989-08,5.920,
1989-09,7.037,
1989-10,8.691,
1989-11,8.284,
1989-12,7.891,
1990-01,8.041,
1990-02,7.746,
1990-03,7.709,
1990-04,7.711,
1990-05,7.206,
1990-06,7.128,
1990-07,7.355,
1990-08,7.039,
1990-09,7.092,
1990-10,7.072,
1990-11,7.162,
1990-12,8.056,
1991-01,8.056,
1991-02,8.883,
1991-03,9.348,
1991-04,9.600,
1991-05,9.530,
1991-06,9.990,
1991-07,8.902,
1991-08,8.522,
1991-09,7.870,
1991-10,8.587,
1991-11,8.634,
1991-12,8.651,
1992-01,9.108,
1992-02,9.138,
1992-03,9.599,
1992-04,9.676,
1992-05,9.746,
1992-06,9.849,
1992-07,10.065,
1992-08,9.920,
1992-09,10.009,
1992-10,9.999,
1992-11,9.998,
1992-12,8.890,
1993-01,8.965,
1993-02,9.375,
1993-03,9.669,
1993-04,9.654,
1993-05,10.735,
1993-06,9.891,
1993-07,10.242,
1993-08,10.432,
1993-09,10.116,
1993-10,10.361,
1993-11,10.563,
1993-12,10.524,
1994-01,10.304,
1994-02,10.218,
1994-03,11.153,
1994-04,11.672,
1994-05,11.564,
1994-06,12.131,
1994-07,11.645,
1994-08,12.319,
1994-09,12.297,
1994-10,11.914,
1994-11,11.416,
1994-12,11.932,
1995-01,12.072,
1995-02,12.451,
1995-03,12.843,
1995-04,13.243,
1995-05,13.998,
1995-06,14.130,
1995-07,14.006,
1995-08,14.041,
1995-09,14.664,
1995-10,14.483,
1995-11,14.837,
1995-12,14.189,
1996-01,14.928,
1996-02,16.615,
1996-03,17.472,
1996-04,19.228,
1996-05,21.631,
1996-06,21.610,
1996-07,19.783,
1996-08,20.188,
1996-09,23.090,
1996-10,23.750,
1996-11,24.125,
1996-12,29.777,
1997-01,35.822,
1997-02,36.672,
1997-03,37.835,
1997-04,40.077,
1997-05,40.191,
1997-06,38.915,
1997-07,37.367,
1997-08,33.893,
1997-09,35.045,
1997-10,32.817,
1997-11,31.555,
1997-12,32.850,
1998-01,32.360,
