"",BBFN1.M.DE.N.1.L.CO.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CO.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Columbia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:27,
1994-12,0.217,
1995-01,0.201,
1995-02,0.198,
1995-03,0.196,
1995-04,0.111,
1995-05,0.175,
1995-06,0.180,
1995-07,0.166,
1995-08,0.133,
1995-09,0.123,
1995-10,0.094,
1995-11,0.115,
1995-12,0.149,
1996-01,0.163,
1996-02,0.164,
1996-03,0.169,
1996-04,0.168,
1996-05,0.183,
1996-06,0.194,
1996-07,0.191,
1996-08,0.185,
1996-09,0.191,
1996-10,0.171,
1996-11,0.167,
1996-12,0.182,
1997-01,0.175,
1997-02,0.178,
1997-03,0.190,
1997-04,0.197,
1997-05,0.220,
1997-06,0.228,
1997-07,0.210,
1997-08,0.211,
1997-09,0.181,
1997-10,0.206,
1997-11,0.262,
1997-12,0.292,
1998-01,0.263,
1998-02,0.290,
1998-03,0.265,
1998-04,0.267,
1998-05,0.261,
1998-06,0.248,
1998-07,0.242,
1998-08,0.245,
1998-09,0.246,
1998-10,0.257,
1998-11,0.239,
1998-12,0.149,
1999-01,0.162,
1999-02,0.150,
1999-03,0.152,
1999-04,0.089,
1999-05,0.153,
1999-06,0.160,
1999-07,0.170,
1999-08,0.153,
1999-09,0.135,
1999-10,0.151,
1999-11,0.150,
1999-12,0.144,
2000-01,0.149,
2000-02,0.125,
2000-03,0.144,
2000-04,0.148,
2000-05,0.140,
2000-06,0.145,
2000-07,0.138,
2000-08,0.141,
2000-09,0.155,
2000-10,0.153,
2000-11,0.163,
2000-12,0.168,
2001-01,0.167,
2001-02,0.174,
2001-03,0.170,
2001-04,0.175,
2001-05,0.154,
2001-06,0.185,
2001-07,0.156,
2001-08,0.146,
2001-09,0.157,
2001-10,0.172,
2001-11,0.145,
2001-12,0.128,
2002-01,0.096,
2002-02,0.179,
2002-03,0.136,
2002-04,0.104,
2002-05,0.094,
2002-06,0.094,
2002-07,0.083,
2002-08,0.075,
2002-09,0.116,
2002-10,0.072,
2002-11,0.072,
2002-12,0.077,
2003-01,0.064,
2003-02,0.048,
2003-03,0.060,
2003-04,0.062,
2003-05,0.052,
2003-06,0.053,
2003-07,0.053,
2003-08,0.055,
2003-09,0.047,
2003-10,0.055,
2003-11,0.082,
2003-12,0.079,
2004-01,0.074,
2004-02,0.078,
2004-03,0.082,
2004-04,0.072,
2004-05,0.073,
2004-06,0.074,
2004-07,0.050,
2004-08,0.052,
2004-09,0.060,
2004-10,0.050,
2004-11,0.047,
2004-12,0.055,
2005-01,0.056,
2005-02,0.064,
2005-03,0.062,
2005-04,0.064,
2005-05,0.069,
2005-06,0.071,
2005-07,0.068,
2005-08,0.067,
2005-09,0.086,
2005-10,0.074,
2005-11,0.065,
2005-12,0.077,
2006-01,0.127,
2006-02,0.116,
2006-03,0.141,
2006-04,0.135,
2006-05,0.141,
2006-06,0.138,
2006-07,0.139,
2006-08,0.121,
2006-09,0.103,
2006-10,0.096,
2006-11,0.111,
2006-12,0.111,
2007-01,0.132,
2007-02,0.127,
2007-03,0.126,
2007-04,0.140,
2007-05,0.099,
2007-06,0.383,
2007-07,0.103,
2007-08,0.105,
2007-09,0.113,
2007-10,0.100,
2007-11,0.104,
2007-12,0.129,
2008-01,0.117,
2008-02,0.120,
2008-03,0.122,
2008-04,0.118,
2008-05,0.121,
2008-06,0.111,
2008-07,0.110,
2008-08,0.113,
2008-09,0.137,
2008-10,0.137,
2008-11,0.125,
2008-12,0.138,
2009-01,0.139,
2009-02,0.118,
2009-03,0.146,
2009-04,0.145,
2009-05,0.147,
2009-06,0.155,
2009-07,0.154,
2009-08,0.154,
2009-09,0.182,
2009-10,0.173,
2009-11,0.142,
2009-12,0.143,
2010-01,0.115,
2010-02,0.118,
2010-03,0.133,
2010-04,0.137,
2010-05,0.137,
2010-06,0.124,
2010-07,0.113,
2010-08,0.122,
2010-09,0.160,
2010-10,0.139,
2010-11,0.117,
2010-12,0.121,
2011-01,0.119,
2011-02,0.117,
2011-03,0.134,
2011-04,0.157,
2011-05,0.127,
2011-06,0.128,
2011-07,0.128,
2011-08,0.134,
2011-09,0.152,
2011-10,0.141,
2011-11,0.144,
2011-12,0.192,
2012-01,0.140,
2012-02,0.142,
2012-03,0.171,
2012-04,0.155,
2012-05,0.146,
2012-06,0.178,
2012-07,0.177,
2012-08,0.173,
2012-09,0.195,
2012-10,0.155,
2012-11,0.148,
2012-12,0.177,
2013-01,0.187,
2013-02,0.193,
2013-03,0.227,
2013-04,0.216,
2013-05,0.207,
2013-06,0.245,
2013-07,0.199,
2013-08,0.220,
2013-09,0.262,
2013-10,0.246,
2013-11,0.255,
2013-12,0.240,
2014-01,0.204,
2014-02,0.193,
2014-03,0.208,
2014-04,0.190,
2014-05,0.201,
2014-06,0.213,
2014-07,0.200,
2014-08,0.203,
2014-09,0.261,
2014-10,0.211,
2014-11,0.226,
2014-12,0.219,
