"",BBK01.OEAF25S,BBK01.OEAF25S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:57,
2002-01,0.193,
2002-04,0.196,
2002-07,0.197,
2002-10,0.194,
2003-01,0.189,
2003-04,0.187,
2003-07,0.188,
2003-10,0.189,
2004-01,0.188,
2004-04,0.182,
2004-07,0.177,
2004-10,0.171,
2005-01,0.174,
2005-04,0.178,
2005-07,0.175,
2005-10,0.173,
2006-01,0.177,
2006-04,0.180,
2006-07,0.183,
2006-10,0.182,
2007-01,0.181,
2007-04,0.180,
2007-07,0.181,
2007-10,0.175,
2008-01,0.169,
2008-04,0.171,
2008-07,0.170,
2008-10,0.168,
2009-01,0.166,
2009-04,0.166,
2009-07,0.168,
2009-10,0.162,
2010-01,0.161,
2010-04,0.165,
2010-07,0.173,
2010-10,0.174,
2011-01,0.172,
2011-04,0.170,
2011-07,0.171,
2011-10,0.164,
2012-01,0.160,
2012-04,0.160,
2012-07,0.205,
2012-10,0.201,
2013-01,0.199,
2013-04,0.203,
2013-07,0.213,
2013-10,0.208,
2014-01,0.210,
2014-04,0.214,
2014-07,0.217,
