"",BBK01.WXI006,BBK01.WXI006_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:37,
2009-09,5703,
2009-10,5461,
2009-11,5877,
2009-12,5949,
2010-01,5699,
2010-02,5576,
2010-03,5273,
2010-04,5529,
2010-05,5993,
2010-06,5908,
2010-07,5531,
2010-08,6037,
2010-09,5985,
2010-10,5910,
2010-11,5908,
2010-12,5561,
2011-01,6127,
2011-02,5884,
2011-03,5931,
2011-04,6086,
2011-05,5585,
2011-06,5141,
2011-07,5226,
2011-08,5771,
2011-09,5188,
2011-10,5615,
2011-11,5592,
2011-12,5273,
2012-01,5348,
2012-02,5451,
2012-03,4757,
2012-04,4788,
2012-05,5969,
2012-06,5172,
2012-07,4905,
2012-08,5575,
2012-09,5123,
2012-10,4906,
2012-11,5318,
2012-12,5698,
2013-01,6164,
2013-02,5363,
2013-03,5231,
2013-04,5480,
2013-05,5341,
2013-06,5631,
2013-07,5412,
2013-08,5724,
2013-09,5781,
2013-10,5686,
2013-11,5838,
2013-12,5900,
2014-01,5418,
2014-02,5954,
2014-03,5440,
2014-04,5773,
2014-05,6144,
2014-06,5870,
2014-07,6459,
2014-08,8291,
2014-09,9282,
2014-10,9333,
2014-11,9933,
