"",BBK01.OEHB02L,BBK01.OEHB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:44,
2002-01,6.757,
2002-04,6.571,
2002-07,6.381,
2002-10,6.722,
2003-01,6.166,
2003-04,6.513,
2003-07,6.258,
2003-10,7.010,
2004-01,5.982,
2004-04,5.684,
2004-07,5.506,
2004-10,5.306,
2005-01,5.897,
2005-04,6.073,
2005-07,5.296,
2005-10,5.697,
2006-01,5.321,
2006-04,5.385,
2006-07,5.305,
2006-10,5.245,
2007-01,5.076,
2007-04,4.933,
2007-07,5.049,
2007-10,4.606,
2008-01,4.655,
2008-04,4.715,
2008-07,4.652,
2008-10,4.824,
2009-01,5.051,
2009-04,5.206,
2009-07,4.895,
2009-10,4.796,
2010-01,4.958,
2010-04,4.889,
2010-07,4.816,
2010-10,4.688,
2011-01,5.077,
2011-04,5.229,
2011-07,4.997,
2011-10,4.998,
2012-01,5.233,
2012-04,5.052,
2012-07,4.913,
2012-10,4.927,
2013-01,4.856,
2013-04,4.672,
2013-07,4.636,
2013-10,4.627,
2014-01,4.627,
2014-04,4.342,
2014-07,4.247,
