"",BBK01.OEAF11M,BBK01.OEAF11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:29,
2002-01,4.003,
2002-04,4.042,
2002-07,4.130,
2002-10,4.034,
2003-01,3.816,
2003-04,3.801,
2003-07,3.821,
2003-10,3.688,
2004-01,3.433,
2004-04,3.396,
2004-07,3.394,
2004-10,3.243,
2005-01,3.121,
2005-04,3.208,
2005-07,3.314,
2005-10,3.142,
2006-01,2.994,
2006-04,3.111,
2006-07,3.216,
2006-10,3.039,
2007-01,2.991,
2007-04,3.002,
2007-07,2.998,
2007-10,2.950,
2008-01,2.855,
2008-04,2.930,
2008-07,3.177,
2008-10,3.053,
2009-01,2.810,
2009-04,2.897,
2009-07,2.840,
2009-10,2.738,
2010-01,2.551,
2010-04,2.652,
2010-07,2.694,
2010-10,2.645,
2011-01,2.500,
2011-04,2.477,
2011-07,2.564,
2011-10,2.580,
2012-01,2.427,
2012-04,2.417,
2012-07,2.485,
2012-10,2.509,
2013-01,2.413,
2013-04,2.431,
2013-07,2.499,
2013-10,2.526,
2014-01,2.421,
2014-04,2.441,
2014-07,2.484,
