"",BBSF2.M.1.T.00000.DSO01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:04,
2009-09,24,
2009-10,24,
2009-11,25,
2009-12,26,
2010-01,26,
2010-02,26,
2010-03,29,
2010-04,29,
2010-05,28,
2010-06,29,
2010-07,30,
2010-08,30,
2010-09,32,
2010-10,33,
2010-11,33,
2010-12,35,
2011-01,33,
2011-02,34,
2011-03,33,
2011-04,34,
2011-05,33,
2011-06,36,
2011-07,52,
2011-08,30,
2011-09,30,
2011-10,25,
2011-11,24,
2011-12,32,
2012-01,32,
2012-02,33,
2012-03,33,
2012-04,32,
2012-05,24,
2012-06,24,
2012-07,24,
2012-08,24,
2012-09,30,
2012-10,31,
2012-11,31,
2012-12,33,
2013-01,32,
2013-02,32,
2013-03,31,
2013-04,31,
2013-05,31,
2013-06,34,
2013-07,35,
2013-08,34,
2013-09,84,
2013-10,88,
2013-11,89,
2013-12,90,
2014-01,83,
2014-02,84,
2014-03,78,
2014-04,67,
2014-05,73,
2014-06,69,
2014-07,66,
2014-08,63,
2014-09,63,
2014-10,52,
2014-11,48,
