"",BBK01.OEAJ02O,BBK01.OEAJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:07,
2002-01,2.233,
2002-04,2.226,
2002-07,2.628,
2002-10,2.513,
2003-01,1.813,
2003-04,3.344,
2003-07,2.240,
2003-10,2.910,
2004-01,2.094,
2004-04,2.804,
2004-07,2.590,
2004-10,1.873,
2005-01,5.498,
2005-04,5.867,
2005-07,5.971,
2005-10,6.039,
2006-01,6.045,
2006-04,6.611,
2006-07,5.987,
2006-10,6.522,
2007-01,5.778,
2007-04,6.923,
2007-07,7.280,
2007-10,6.398,
2008-01,7.074,
2008-04,6.859,
2008-07,7.104,
2008-10,6.312,
2009-01,6.785,
2009-04,7.255,
2009-07,8.255,
2009-10,8.810,
2010-01,8.795,
2010-04,9.650,
2010-07,9.956,
2010-10,9.299,
2011-01,9.453,
2011-04,9.960,
2011-07,10.492,
2011-10,9.881,
2012-01,10.103,
2012-04,10.363,
2012-07,11.963,
2012-10,12.354,
2013-01,12.228,
2013-04,12.028,
2013-07,12.501,
2013-10,13.033,
2014-01,12.122,
2014-04,12.112,
2014-07,13.663,
