"",BBK01.OELJ04Q,BBK01.OELJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:40,
2002-01,0.552,
2002-04,0.513,
2002-07,0.420,
2002-10,0.461,
2003-01,0.458,
2003-04,0.309,
2003-07,0.458,
2003-10,0.384,
2004-01,0.408,
2004-04,0.569,
2004-07,0.532,
2004-10,0.490,
2005-01,0.405,
2005-04,0.489,
2005-07,0.389,
2005-10,0.630,
2006-01,0.686,
2006-04,0.677,
2006-07,0.678,
2006-10,0.598,
2007-01,0.641,
2007-04,0.558,
2007-07,0.597,
2007-10,0.627,
2008-01,0.510,
2008-04,0.531,
2008-07,0.553,
2008-10,0.595,
2009-01,0.492,
2009-04,0.430,
2009-07,0.501,
2009-10,0.449,
2010-01,0.351,
2010-04,0.362,
2010-07,0.342,
2010-10,0.398,
2011-01,0.384,
2011-04,0.396,
2011-07,0.437,
2011-10,0.406,
2012-01,0.389,
2012-04,0.404,
2012-07,0.352,
2012-10,0.395,
2013-01,0.448,
2013-04,0.345,
2013-07,0.317,
2013-10,0.359,
2014-01,0.317,
2014-04,0.283,
2014-07,0.323,
