"",BBK01.OECB22T,BBK01.OECB22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:08,
2002-01,0.049,
2002-04,0.057,
2002-07,0.038,
2002-10,0.039,
2003-01,0.046,
2003-04,0.048,
2003-07,0.041,
2003-10,0.040,
2004-01,0.042,
2004-04,0.031,
2004-07,0.028,
2004-10,0.058,
2005-01,0.052,
2005-04,0.043,
2005-07,0.076,
2005-10,0.053,
2006-01,0.063,
2006-04,0.031,
2006-07,0.036,
2006-10,0.026,
2007-01,0.022,
2007-04,0.026,
2007-07,0.018,
2007-10,0.019,
2008-01,0.193,
2008-04,0.228,
2008-07,0.233,
2008-10,0.125,
2009-01,0.128,
2009-04,0.123,
2009-07,0.118,
2009-10,0.111,
2010-01,0.038,
2010-04,0.017,
2010-07,0.030,
2010-10,0.023,
2011-01,0.018,
2011-04,0.021,
2011-07,0.019,
2011-10,0.017,
2012-01,0.015,
2012-04,0.013,
2012-07,0.009,
2012-10,0.009,
2013-01,0.016,
2013-04,0.016,
2013-07,0.016,
2013-10,0.015,
2014-01,0.293,
2014-04,0.288,
2014-07,0.307,
