"",BBK01.OELB11Q,BBK01.OELB11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:58,
2002-01,0.202,
2002-04,0.199,
2002-07,0.209,
2002-10,0.202,
2003-01,0.191,
2003-04,0.187,
2003-07,0.186,
2003-10,0.156,
2004-01,0.150,
2004-04,0.155,
2004-07,0.161,
2004-10,0.156,
2005-01,0.145,
2005-04,0.136,
2005-07,0.133,
2005-10,0.132,
2006-01,0.129,
2006-04,0.127,
2006-07,0.135,
2006-10,0.122,
2007-01,0.130,
2007-04,0.140,
2007-07,0.133,
2007-10,0.138,
2008-01,0.139,
2008-04,0.135,
2008-07,0.141,
2008-10,0.151,
2009-01,0.162,
2009-04,0.162,
2009-07,0.174,
2009-10,0.181,
2010-01,0.181,
2010-04,0.178,
2010-07,0.181,
2010-10,0.178,
2011-01,0.188,
2011-04,0.187,
2011-07,0.195,
2011-10,0.196,
2012-01,0.187,
2012-04,0.202,
2012-07,0.204,
2012-10,0.227,
2013-01,0.258,
2013-04,0.261,
2013-07,0.262,
2013-10,0.274,
2014-01,0.292,
2014-04,0.283,
2014-07,0.292,
