"",BBK01.OEXB09P,BBK01.OEXB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:25,
2002-01,0.212,
2002-04,0.215,
2002-07,0.206,
2002-10,0.196,
2003-01,0.196,
2003-04,0.190,
2003-07,0.065,
2003-10,0.057,
2004-01,0.052,
2004-04,0.050,
2004-07,0.050,
2004-10,0.050,
2005-01,0.052,
2005-04,0.051,
2005-07,0.054,
2005-10,0.051,
2006-01,0.050,
2006-04,0.054,
2006-07,0.054,
2006-10,0.056,
2007-01,0.055,
2007-04,0.053,
2007-07,0.058,
2007-10,0.054,
2008-01,0.053,
2008-04,0.057,
2008-07,0.055,
2008-10,0.054,
2009-01,0.054,
2009-04,0.059,
2009-07,0.059,
2009-10,0.058,
2010-01,0.058,
2010-04,0.059,
2010-07,0.056,
2010-10,0.054,
2011-01,0.054,
2011-04,0.056,
2011-07,0.055,
2011-10,0.060,
2012-01,0.060,
2012-04,0.063,
2012-07,0.066,
2012-10,0.064,
2013-01,0.075,
2013-04,0.074,
2013-07,0.077,
2013-10,0.079,
2014-01,0.084,
2014-04,0.083,
2014-07,0.088,
