"",BBK01.OEAE09M,BBK01.OEAE09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:21,
2002-01,4.958,
2002-04,4.986,
2002-07,5.024,
2002-10,4.968,
2003-01,4.943,
2003-04,5.149,
2003-07,5.016,
2003-10,5.256,
2004-01,5.202,
2004-04,5.198,
2004-07,5.322,
2004-10,4.958,
2005-01,5.005,
2005-04,4.964,
2005-07,4.751,
2005-10,4.674,
2006-01,4.675,
2006-04,4.605,
2006-07,4.778,
2006-10,4.767,
2007-01,4.577,
2007-04,4.637,
2007-07,4.643,
2007-10,4.785,
2008-01,4.770,
2008-04,4.714,
2008-07,4.569,
2008-10,4.248,
2009-01,3.925,
2009-04,3.998,
2009-07,4.108,
2009-10,4.005,
2010-01,0.120,
2010-04,0.447,
2010-07,0.402,
2010-10,4.297,
2011-01,4.172,
2011-04,4.167,
2011-07,4.158,
2011-10,4.184,
2012-01,4.178,
2012-04,4.209,
2012-07,4.302,
2012-10,4.372,
2013-01,3.437,
2013-04,3.395,
2013-07,3.339,
2013-10,3.387,
2014-01,3.361,
2014-04,3.241,
2014-07,3.483,
