"",BBK01.OELI08I,BBK01.OELI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:11,
2002-01,2.039,
2002-04,2.018,
2002-07,2.054,
2002-10,2.198,
2003-01,2.271,
2003-04,2.245,
2003-07,2.243,
2003-10,2.286,
2004-01,2.268,
2004-04,2.215,
2004-07,2.146,
2004-10,2.179,
2005-01,2.120,
2005-04,2.081,
2005-07,2.119,
2005-10,2.200,
2006-01,2.193,
2006-04,2.134,
2006-07,2.106,
2006-10,2.060,
2007-01,1.993,
2007-04,1.985,
2007-07,2.014,
2007-10,2.041,
2008-01,2.042,
2008-04,1.993,
2008-07,1.950,
2008-10,1.976,
2009-01,1.935,
2009-04,1.858,
2009-07,1.792,
2009-10,1.796,
2010-01,1.769,
2010-04,1.708,
2010-07,1.689,
2010-10,1.650,
2011-01,1.626,
2011-04,1.612,
2011-07,1.581,
2011-10,1.606,
2012-01,1.608,
2012-04,1.628,
2012-07,1.652,
2012-10,1.673,
2013-01,1.671,
2013-04,1.710,
2013-07,1.694,
2013-10,1.716,
2014-01,1.691,
2014-04,1.672,
2014-07,1.666,
