"",BBK01.OEAH10M,BBK01.OEAH10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:41,
2002-01,7.027,
2002-04,7.045,
2002-07,6.975,
2002-10,6.822,
2003-01,6.677,
2003-04,6.635,
2003-07,6.671,
2003-10,6.595,
2004-01,6.632,
2004-04,6.699,
2004-07,6.885,
2004-10,7.016,
2005-01,6.922,
2005-04,7.069,
2005-07,6.954,
2005-10,6.863,
2006-01,6.751,
2006-04,6.689,
2006-07,6.596,
2006-10,6.452,
2007-01,6.231,
2007-04,5.961,
2007-07,5.879,
2007-10,5.801,
2008-01,5.793,
2008-04,5.637,
2008-07,5.510,
2008-10,5.695,
2009-01,6.154,
2009-04,6.513,
2009-07,6.926,
2009-10,7.880,
2010-01,8.336,
2010-04,8.551,
2010-07,8.565,
2010-10,8.656,
2011-01,8.614,
2011-04,8.929,
2011-07,8.937,
2011-10,8.989,
2012-01,8.746,
2012-04,8.694,
2012-07,8.498,
2012-10,7.809,
2013-01,7.052,
2013-04,6.554,
2013-07,6.250,
2013-10,5.987,
2014-01,5.612,
2014-04,4.970,
2014-07,4.606,
