"",BBK01.OELO01L,BBK01.OELO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:55,
2002-01,16.696,
2002-04,16.530,
2002-07,16.425,
2002-10,16.383,
2003-01,16.776,
2003-04,16.834,
2003-07,16.770,
2003-10,16.726,
2004-01,17.204,
2004-04,17.371,
2004-07,17.447,
2004-10,17.434,
2005-01,17.745,
2005-04,17.746,
2005-07,17.679,
2005-10,17.566,
2006-01,17.663,
2006-04,17.599,
2006-07,17.681,
2006-10,17.530,
2007-01,17.487,
2007-04,16.959,
2007-07,16.545,
2007-10,16.054,
2008-01,15.558,
2008-04,14.725,
2008-07,14.005,
2008-10,13.307,
2009-01,13.220,
2009-04,13.657,
2009-07,14.174,
2009-10,14.632,
2010-01,15.494,
2010-04,15.950,
2010-07,15.973,
2010-10,15.965,
2011-01,16.092,
2011-04,16.109,
2011-07,16.194,
2011-10,16.046,
2012-01,15.981,
2012-04,15.799,
2012-07,15.592,
2012-10,15.361,
2013-01,15.319,
2013-04,15.227,
2013-07,15.139,
2013-10,15.050,
2014-01,15.099,
2014-04,14.898,
2014-07,14.660,
