"",BBSF2.M.1.P.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:28,
2009-09,64,
2009-10,62,
2009-11,98,
2009-12,114,
2010-01,109,
2010-02,111,
2010-03,119,
2010-04,117,
2010-05,113,
2010-06,117,
2010-07,120,
2010-08,120,
2010-09,127,
2010-10,133,
2010-11,136,
2010-12,141,
2011-01,140,
2011-02,142,
2011-03,142,
2011-04,147,
2011-05,145,
2011-06,144,
2011-07,170,
2011-08,125,
2011-09,122,
2011-10,109,
2011-11,103,
2011-12,119,
2012-01,260,
2012-02,265,
2012-03,282,
2012-04,292,
2012-05,297,
2012-06,308,
2012-07,346,
2012-08,353,
2012-09,360,
2012-10,349,
2012-11,352,
2012-12,367,
2013-01,363,
2013-02,364,
2013-03,387,
2013-04,384,
2013-05,385,
2013-06,362,
2013-07,385,
2013-08,386,
2013-09,400,
2013-10,422,
2013-11,446,
2013-12,452,
2014-01,448,
2014-02,462,
2014-03,482,
2014-04,476,
2014-05,519,
2014-06,491,
2014-07,498,
2014-08,508,
2014-09,515,
2014-10,513,
2014-11,548,
