"",BBK01.OELB20L,BBK01.OELB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:02,
2002-01,14.336,
2002-04,14.483,
2002-07,14.615,
2002-10,14.732,
2003-01,14.746,
2003-04,14.849,
2003-07,15.055,
2003-10,15.348,
2004-01,15.489,
2004-04,15.698,
2004-07,15.843,
2004-10,16.121,
2005-01,16.109,
2005-04,16.217,
2005-07,16.375,
2005-10,16.571,
2006-01,16.694,
2006-04,16.833,
2006-07,16.978,
2006-10,16.977,
2007-01,16.936,
2007-04,16.928,
2007-07,16.984,
2007-10,17.058,
2008-01,17.080,
2008-04,17.122,
2008-07,17.268,
2008-10,17.321,
2009-01,17.301,
2009-04,17.437,
2009-07,17.618,
2009-10,17.754,
2010-01,17.758,
2010-04,17.880,
2010-07,18.030,
2010-10,18.165,
2011-01,18.159,
2011-04,18.279,
2011-07,18.390,
2011-10,18.490,
2012-01,18.507,
2012-04,18.852,
2012-07,19.029,
2012-10,19.207,
2013-01,19.236,
2013-04,19.378,
2013-07,19.613,
2013-10,19.751,
2014-01,19.793,
2014-04,19.956,
2014-07,20.222,
