"",BBK01.OECO06S,BBK01.OECO06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:31,
2002-01,0.464,
2002-04,0.364,
2002-07,0.368,
2002-10,0.380,
2003-01,0.369,
2003-04,0.350,
2003-07,0.389,
2003-10,0.361,
2004-01,0.352,
2004-04,0.344,
2004-07,0.374,
2004-10,0.389,
2005-01,1.336,
2005-04,1.335,
2005-07,1.348,
2005-10,1.357,
2006-01,1.365,
2006-04,1.354,
2006-07,1.288,
2006-10,1.280,
2007-01,1.314,
2007-04,1.302,
2007-07,1.270,
2007-10,1.288,
2008-01,1.287,
2008-04,1.325,
2008-07,1.292,
2008-10,1.292,
2009-01,1.324,
2009-04,1.374,
2009-07,1.441,
2009-10,1.503,
2010-01,1.520,
2010-04,1.497,
2010-07,1.505,
2010-10,1.523,
2011-01,1.510,
2011-04,1.496,
2011-07,1.491,
2011-10,1.496,
2012-01,1.601,
2012-04,1.580,
2012-07,1.580,
2012-10,1.624,
2013-01,1.628,
2013-04,1.614,
2013-07,1.585,
2013-10,1.586,
2014-01,1.575,
2014-04,1.546,
2014-07,1.581,
