"",BBK01.OEAN04G,BBK01.OEAN04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:47,
2002-01,69.983,
2002-04,70.009,
2002-07,71.042,
2002-10,76.154,
2003-01,78.909,
2003-04,80.041,
2003-07,81.779,
2003-10,84.890,
2004-01,86.886,
2004-04,88.510,
2004-07,89.256,
2004-10,91.437,
2005-01,63.023,
2005-04,62.895,
2005-07,62.803,
2005-10,63.670,
2006-01,63.352,
2006-04,62.352,
2006-07,61.467,
2006-10,59.496,
2007-01,57.425,
2007-04,55.867,
2007-07,54.760,
2007-10,54.406,
2008-01,53.466,
2008-04,52.677,
2008-07,51.145,
2008-10,51.400,
2009-01,53.194,
2009-04,54.722,
2009-07,56.998,
2009-10,59.663,
2010-01,61.795,
2010-04,62.577,
2010-07,64.006,
2010-10,65.480,
2011-01,67.303,
2011-04,67.364,
2011-07,67.184,
2011-10,67.538,
2012-01,67.883,
2012-04,67.410,
2012-07,67.816,
2012-10,68.353,
2013-01,68.312,
2013-04,67.843,
2013-07,67.865,
2013-10,67.763,
2014-01,67.784,
2014-04,67.665,
2014-07,68.368,
