"",BBK01.OELJ06Q,BBK01.OELJ06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:54,
2002-01,0.167,
2002-04,0.171,
2002-07,0.167,
2002-10,0.154,
2003-01,0.149,
2003-04,0.037,
2003-07,0.151,
2003-10,0.150,
2004-01,0.142,
2004-04,0.138,
2004-07,0.135,
2004-10,0.130,
2005-01,0.120,
2005-04,0.118,
2005-07,0.097,
2005-10,0.087,
2006-01,0.081,
2006-04,0.072,
2006-07,0.072,
2006-10,0.063,
2007-01,0.064,
2007-04,0.062,
2007-07,0.058,
2007-10,0.047,
2008-01,0.048,
2008-04,0.047,
2008-07,0.045,
2008-10,0.038,
2009-01,0.037,
2009-04,0.035,
2009-07,0.032,
2009-10,0.037,
2010-01,0.056,
2010-04,0.056,
2010-07,0.056,
2010-10,0.061,
2011-01,0.064,
2011-04,0.064,
2011-07,0.065,
2011-10,0.061,
2012-01,0.054,
2012-04,0.051,
2012-07,0.048,
2012-10,0.044,
2013-01,0.044,
2013-04,0.044,
2013-07,0.044,
2013-10,0.039,
2014-01,0.039,
2014-04,0.037,
2014-07,0.037,
