"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Investmentfondsanteile / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:03,
1991-01,-22.558,
1991-04,41.170,
1991-07,7.242,
1991-10,64.057,
1992-01,352.776,
1992-04,6.969,
1992-07,-183.635,
1992-10,-177.469,
1993-01,250.368,
1993-04,555.042,
1993-07,297.007,
1993-10,943.028,
1994-01,561.397,
1994-04,956.859,
1994-07,20.010,
1994-10,1044.976,
1995-01,-206.314,
1995-04,-322.030,
1995-07,-283.860,
1995-10,275.907,
1996-01,176.933,
1996-04,-267.040,
1996-07,-202.934,
1996-10,-892.717,
1997-01,560.581,
1997-04,397.639,
1997-07,-1595.396,
1997-10,-1495.686,
1998-01,159.537,
1998-04,-611.029,
1998-07,-238.428,
1998-10,-729.200,
1999-01,2550.903,
1999-04,-1114.537,
1999-07,576.012,
1999-10,3748.782,
2000-01,5137.212,
2000-04,2067.857,
2000-07,1680.741,
2000-10,2114.623,
2001-01,-1961.771,
2001-04,-723.132,
2001-07,-523.537,
2001-10,4158.977,
2002-01,1049.715,
2002-04,-1000.817,
2002-07,991.629,
2002-10,-1722.268,
2003-01,-803.584,
2003-04,-480.940,
2003-07,-752.607,
2003-10,243.963,
2004-01,781.049,
2004-04,-1474.622,
2004-07,3979.918,
2004-10,881.833,
2005-01,511.807,
2005-04,697.758,
2005-07,4542.281,
2005-10,264.378,
2006-01,4867.361,
2006-04,827.984,
2006-07,1152.078,
2006-10,1408.817,
2007-01,1010.338,
2007-04,1838.813,
2007-07,902.202,
2007-10,717.149,
2008-01,-1613.155,
2008-04,496.189,
2008-07,-1754.040,
2008-10,-5845.144,
2009-01,264.482,
2009-04,5014.338,
2009-07,5488.484,
2009-10,1029.060,
2010-01,1697.468,
2010-04,29.359,
2010-07,669.846,
2010-10,1201.219,
2011-01,2117.977,
2011-04,1229.884,
2011-07,2907.461,
2011-10,839.982,
2012-01,-968.532,
2012-04,-2366.304,
2012-07,-1121.228,
2012-10,656.924,
2013-01,216.205,
2013-04,-789.151,
2013-07,1222.755,
2013-10,5351.242,
2014-01,-79.698,
2014-04,655.065,
2014-07,-3172.318,
