"",BBK01.OEBL06N,BBK01.OEBL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:48,
2002-01,1.750,
2002-04,1.717,
2002-07,1.571,
2002-10,1.238,
2003-01,1.123,
2003-04,1.096,
2003-07,1.049,
2003-10,1.075,
2004-01,1.195,
2004-04,1.200,
2004-07,1.191,
2004-10,1.160,
2005-01,1.325,
2005-04,1.326,
2005-07,1.361,
2005-10,1.306,
2006-01,1.289,
2006-04,1.322,
2006-07,1.454,
2006-10,1.469,
2007-01,1.482,
2007-04,1.530,
2007-07,1.535,
2007-10,1.741,
2008-01,1.991,
2008-04,2.258,
2008-07,2.389,
2008-10,2.689,
2009-01,3.085,
2009-04,2.710,
2009-07,2.432,
2009-10,2.423,
2010-01,2.520,
2010-04,3.214,
2010-07,3.495,
2010-10,3.733,
2011-01,4.010,
2011-04,4.576,
2011-07,4.887,
2011-10,4.889,
2012-01,5.261,
2012-04,5.621,
2012-07,6.019,
2012-10,5.868,
2013-01,5.497,
2013-04,4.953,
2013-07,4.893,
2013-10,4.843,
2014-01,4.774,
2014-04,4.670,
2014-07,4.119,
